grade;standard;manufacturer;country;source;analogues;c;cr;mo;v;w;co;ni;mn;si;s;p;cu;nb;n;tech
N02205;UNS, США;;США;csv:Спец сплавы.csv;Nickel 205;0,01;;;;;;99,5;0,018;0,08;0,002;;0,03;;;Fe 0,10
Nickel 212;;;;csv:Спец сплавы.csv;;0,01;0,01;0,01;;;0,06;97,7;0,003;0,05;0,002;;0,01;;;"Fe 0,10; Al 0,01; MgO 0,08"
Nickel 222;;;;csv:Спец сплавы.csv;;0,01;<0,001;;;;;99,8;0,003;<0,001;<0,001;;<0,001;;;"Fe <0,001; Mg <0,001"
MONEL alloy 400;;;;csv:Спец сплавы.csv;N04400|2.4360;0,15;;;;;;63,0 мин.;1,00;0,5 макс.;0,024 макс.;;31,0;;;Fe 25 макс.
N04400;UNS, США;;США;csv:Спец сплавы.csv;MONEL alloy 400|2.4360;0,15;;;;;;63,0 мин.;1,00;0,5 макс.;0,024 макс.;;31,0;;;Fe 25 макс.
2.4360;EN, Европа;;Европа;csv:Спец сплавы.csv;MONEL alloy 400|N04400;0,15;;;;;;63,0 мин.;1,00;0,5 макс.;0,024 макс.;;31,0;;;Fe 25 макс.
MONEL alloy 500;;;;csv:Спец сплавы.csv;N05500|2.4375;0,15;;;;;;63,0 мин.;1,5 макс.;0,5;0,02 макс.;;30,0;;;"Fe 2,5 макс.; Al 2,9; Ti 0,6"
N05500;UNS, США;;США;csv:Спец сплавы.csv;MONEL alloy 500|2.4375;0,15;;;;;;63,0 мин.;1,5 макс.;0,5;0,02 макс.;;30,0;;;"Fe 2,5 макс.; Al 2,9; Ti 0,6"
2.4375;EN, Европа;;Европа;csv:Спец сплавы.csv;MONEL alloy 500|N05500;0,15;;;;;;63,0 мин.;1,5 макс.;0,5;0,02 макс.;;30,0;;;"Fe 2,5 макс.; Al 2,9; Ti 0,6"
Cast MONEL alloy;;;;csv:Спец сплавы.csv;;0,07;0,10 макс.;0,20 макс.;;;;63,0 мин.;0,75;0,04 макс.;0,02 макс.;;30,0;;;"Fe 2,5 макс.; Al 0,05 макс.; Ti 0,01 макс."
INCONEL alloy 600;;;;csv:Спец сплавы.csv;N06600|2.4816;≤0,15;14,0–17,0;;;;;≥72,0;≤1,0;≤0,5;≤0,015;;≤0,05;;;"Fe 6,0–10,0; Al –; Ti –; Nb + Ta: 3,65–4,15"
N06600;UNS, США;;США;csv:Спец сплавы.csv;INCONEL alloy 600|2.4816;≤0,15;14,0–17,0;;;;;≥72,0;≤1,0;≤0,5;≤0,015;;≤0,05;;;"Fe 6,0–10,0; Al –; Ti –; Nb + Ta: 3,65–4,15"
2.4816;EN, Европа;;Европа;csv:Спец сплавы.csv;INCONEL alloy 600|N06600;≤0,15;14,0–17,0;;;;;≥72,0;≤1,0;≤0,5;≤0,015;;≤0,05;;;"Fe 6,0–10,0; Al –; Ti –; Nb + Ta: 3,65–4,15"
INCONEL alloy 617;;;;csv:Спец сплавы.csv;N06617|2.4663;≤0,10;20,0–24,0;8,0–10,0;;;10,0–15,0;44,0–56,0;≤0,5;≤0,5;≤0,015;;≤0,3;;;"Fe ≤3,0; Al 0,8–1,5; Ti ≤0,6; B: ≤0,006, Zr: ≤0,01"
N06617;UNS, США;;США;csv:Спец сплавы.csv;INCONEL alloy 617|2.4663;≤0,10;20,0–24,0;8,0–10,0;;;10,0–15,0;44,0–56,0;≤0,5;≤0,5;≤0,015;;≤0,3;;;"Fe ≤3,0; Al 0,8–1,5; Ti ≤0,6; B: ≤0,006, Zr: ≤0,01"
2.4663;EN, Европа;;Европа;csv:Спец сплавы.csv;INCONEL alloy 617|N06617;≤0,10;20,0–24,0;8,0–10,0;;;10,0–15,0;44,0–56,0;≤0,5;≤0,5;≤0,015;;≤0,3;;;"Fe ≤3,0; Al 0,8–1,5; Ti ≤0,6; B: ≤0,006, Zr: ≤0,01"
INCONEL alloy 625;;;;csv:Спец сплавы.csv;N06625|2.4856;≤0,10;20,0–23,0;8,0–10,0;;;;58,0–63,0;≤0,5;≤0,5;≤0,015;;;;;"Fe ≤5,0; Al ≤0,4; Ti ≤0,4; Nb + Ta: 3,15–4,15"
N06625;UNS, США;;США;csv:Спец сплавы.csv;INCONEL alloy 625|2.4856;≤0,10;20,0–23,0;8,0–10,0;;;;58,0–63,0;≤0,5;≤0,5;≤0,015;;;;;"Fe ≤5,0; Al ≤0,4; Ti ≤0,4; Nb + Ta: 3,15–4,15"
2.4856;EN, Европа;;Европа;csv:Спец сплавы.csv;INCONEL alloy 625|N06625;≤0,10;20,0–23,0;8,0–10,0;;;;58,0–63,0;≤0,5;≤0,5;≤0,015;;;;;"Fe ≤5,0; Al ≤0,4; Ti ≤0,4; Nb + Ta: 3,15–4,15"
INCONEL alloy 718;;;;csv:Спец сплавы.csv;N07718|2.4668;≤0,08;17,0–21,0;2,8–3,3;;;≤1,0;50,0–55,0;≤0,35;≤0,35;≤0,015;;≤0,3;;;"Fe Остальное; Al 0,2–0,8; Ti 0,65–1,15; Nb + Ta: 4,75–5,5, B: ≤0,006"
N07718;UNS, США;;США;csv:Спец сплавы.csv;INCONEL alloy 718|2.4668;≤0,08;17,0–21,0;2,8–3,3;;;≤1,0;50,0–55,0;≤0,35;≤0,35;≤0,015;;≤0,3;;;"Fe Остальное; Al 0,2–0,8; Ti 0,65–1,15; Nb + Ta: 4,75–5,5, B: ≤0,006"
2.4668;EN, Европа;;Европа;csv:Спец сплавы.csv;INCONEL alloy 718|N07718;≤0,08;17,0–21,0;2,8–3,3;;;≤1,0;50,0–55,0;≤0,35;≤0,35;≤0,015;;≤0,3;;;"Fe Остальное; Al 0,2–0,8; Ti 0,65–1,15; Nb + Ta: 4,75–5,5, B: ≤0,006"
INCOLOY alloy 800;;;;csv:Спец сплавы.csv;N08800|1.4876;0,10 макс.;21,0;;;;;32,5;1,5 макс.;1,0 макс.;0,015 макс.;;0,75 макс.;;;"Fe Баланс; Al 0,38; Ti 0,30"
N08800;UNS, США;;США;csv:Спец сплавы.csv;INCOLOY alloy 800|1.4876;0,10 макс.;21,0;;;;;32,5;1,5 макс.;1,0 макс.;0,015 макс.;;0,75 макс.;;;"Fe Баланс; Al 0,38; Ti 0,30"
1.4876;EN, Европа;;Европа;csv:Спец сплавы.csv;INCOLOY alloy 800|N08800;0,10 макс.;21,0;;;;;32,5;1,5 макс.;1,0 макс.;0,015 макс.;;0,75 макс.;;;"Fe Баланс; Al 0,38; Ti 0,30"
"Alloy 800 HT
Sanicro® 31HT";;;;csv:Спец сплавы.csv;N08811|1.4959;0,07;20,5;;;;0,02 макс.;30,5;0,6;0,6;≤0,010;;;;;"Fe Баланс; Al 0,5; Ti 0,5"
N08811;UNS, США;;США;csv:Спец сплавы.csv;"Alloy 800 HT
Sanicro® 31HT|1.4959";0,07;20,5;;;;0,02 макс.;30,5;0,6;0,6;≤0,010;;;;;"Fe Баланс; Al 0,5; Ti 0,5"
INCOLOY alloy 825;;;;csv:Спец сплавы.csv;N08825|2.4858;0,05 макс.;21,5;3,0;;;;42,0;1,0 макс.;0,5 макс.;0,03 макс.;;2,25;;;"Fe Баланс; Al 0,20 макс.; Ti 0,9"
N08825;UNS, США;;США;csv:Спец сплавы.csv;INCOLOY alloy 825|2.4858;0,05 макс.;21,5;3,0;;;;42,0;1,0 макс.;0,5 макс.;0,03 макс.;;2,25;;;"Fe Баланс; Al 0,20 макс.; Ti 0,9"
INCOLOY alloy 904;;;;csv:Спец сплавы.csv;N08904|1.4539;0,025;14,5;;;;;32,5;0,25;0,25;0,015;;;;;"Fe Баланс; Al 0,1; Ti 1,6"
INCOLOY alloy DS;;;;csv:Спец сплавы.csv;;1,2;18,0;;;;;37,0;1,2;2,3 макс.;;;2,3 макс.;;;"Fe Баланс; Ti 0,20"
Hastalloy B;;;;csv:Спец сплавы.csv;N10001;0,10;0,6;28,0;;;1,25;Баланс;0,80;;;;;;;Fe 5,58
N10001;UNS, США;;США;csv:Спец сплавы.csv;Hastalloy B;0,10;0,6;28,0;;;1,25;Баланс;0,80;;;;;;;Fe 5,58
Hastalloy C;;;;csv:Спец сплавы.csv;N10276*;0,07;16,0;17,0;;;;Баланс;0,80;;;;;;;Fe 5,75
N10276*;UNS, США;;США;csv:Спец сплавы.csv;Hastalloy C;0,07;16,0;17,0;;;;Баланс;0,80;;;;;;;Fe 5,75
Hastalloy G;;;;csv:Спец сплавы.csv;N06007|2.4618;0,07;21,0-23,5;5,575;;;;Баланс;0,80;;;;;;;Fe 18,0-21,0
N06007;UNS, США;;США;csv:Спец сплавы.csv;Hastalloy G|2.4618;0,07;21,0-23,5;5,575;;;;Баланс;0,80;;;;;;;Fe 18,0-21,0
2.4618;EN, Европа;;Европа;csv:Спец сплавы.csv;Hastalloy G|N06007;0,07;21,0-23,5;5,575;;;;Баланс;0,80;;;;;;;Fe 18,0-21,0
Nimonic® 75;;;;csv:Спец сплавы.csv;N06075|2.4631;0,08-0,15;18,0-21,0;;;;;Бал.;;1,00 макс.;;;0,50 макс.;;;Ti 0,20-0,60
N06075;UNS, США;;США;csv:Спец сплавы.csv;Nimonic® 75|2.4631;0,08-0,15;18,0-21,0;;;;;Бал.;;1,00 макс.;;;0,50 макс.;;;Ti 0,20-0,60
2.4631;EN, Европа;;Европа;csv:Спец сплавы.csv;Nimonic® 75|N06075;0,08-0,15;18,0-21,0;;;;;Бал.;;1,00 макс.;;;0,50 макс.;;;Ti 0,20-0,60
Nimonic® 80A;;;;csv:Спец сплавы.csv;N07080|2.4632;- 0,10;18,0-21,0;;;;2,00 макс.;Бал.;1,00 макс.;1,00 макс.;0,015;;0,20 макс.;;;"Fe 3,00 макс.; Al 1,00-1,80; Ti 1,80-2,70; B 0,008, Zr 0,15, Pb 0,0025"
N07080;UNS, США;;США;csv:Спец сплавы.csv;Nimonic® 80A|2.4632;- 0,10;18,0-21,0;;;;2,00 макс.;Бал.;1,00 макс.;1,00 макс.;0,015;;0,20 макс.;;;"Fe 3,00 макс.; Al 1,00-1,80; Ti 1,80-2,70; B 0,008, Zr 0,15, Pb 0,0025"
2.4632;EN, Европа;;Европа;csv:Спец сплавы.csv;Nimonic® 80A|N07080;- 0,10;18,0-21,0;;;;2,00 макс.;Бал.;1,00 макс.;1,00 макс.;0,015;;0,20 макс.;;;"Fe 3,00 макс.; Al 1,00-1,80; Ti 1,80-2,70; B 0,008, Zr 0,15, Pb 0,0025"
Nimonic® 90;;;;csv:Спец сплавы.csv;"N07090|2.4969
2.4632";0.08–0.16;17.0–21.0;;;;15.0–21.0;Баланс;≤1.0;≤1.0;≤0.015;;≤0.5;;;"Fe ≤1.0; Al 1.0–2.0; Ti 2.0–2.6; B ≤0.01, Zr ≤0.07"
N07090;UNS, США;;США;csv:Спец сплавы.csv;"Nimonic® 90|2.4969
2.4632";0.08–0.16;17.0–21.0;;;;15.0–21.0;Баланс;≤1.0;≤1.0;≤0.015;;≤0.5;;;"Fe ≤1.0; Al 1.0–2.0; Ti 2.0–2.6; B ≤0.01, Zr ≤0.07"
"2.4969
2.4632";EN, Европа;;Европа;csv:Спец сплавы.csv;Nimonic® 90|N07090;0.08–0.16;17.0–21.0;;;;15.0–21.0;Баланс;≤1.0;≤1.0;≤0.015;;≤0.5;;;"Fe ≤1.0; Al 1.0–2.0; Ti 2.0–2.6; B ≤0.01, Zr ≤0.07"
Nitronic® 50;;;;csv:Спец сплавы.csv;S20910|1.3964;0,06 макс.;20,50-23,50;1,50-3,00;;;;11,50-13,50;4,00-6,00;1,00 макс.;0,03 макс.;;;;;"Fe Бал.; N 0,20-0,40, Nb 0,10-0,30, V 0,10-0,30"
S20910;UNS, США;;США;csv:Спец сплавы.csv;Nitronic® 50|1.3964;0,06 макс.;20,50-23,50;1,50-3,00;;;;11,50-13,50;4,00-6,00;1,00 макс.;0,03 макс.;;;;;"Fe Бал.; N 0,20-0,40, Nb 0,10-0,30, V 0,10-0,30"
1.3964;EN, Европа;;Европа;csv:Спец сплавы.csv;Nitronic® 50|S20910;0,06 макс.;20,50-23,50;1,50-3,00;;;;11,50-13,50;4,00-6,00;1,00 макс.;0,03 макс.;;;;;"Fe Бал.; N 0,20-0,40, Nb 0,10-0,30, V 0,10-0,30"
P550;;;;csv:Спец сплавы.csv;1.3813;0,30-0,50;3,00-5,00;;;;;;17,00-19,00;≤0,80;≤0,030;;;;;"Fe Баланс; 0,080-0,120 N, ≤0,100 P"
1.3813;EN, Европа;;Европа;csv:Спец сплавы.csv;P550;0,30-0,50;3,00-5,00;;;;;;17,00-19,00;≤0,80;≤0,030;;;;;"Fe Баланс; 0,080-0,120 N, ≤0,100 P"
P500;;;;csv:Спец сплавы.csv;1.4565;≤0,03;23,00-26,00;3,00-5,00;;;;16,00-19,00;3,50-6,50;≤1,00;≤0,015;;;;;"Fe Баланс; 0,300-0,600 N, ≤0,150 Nb, ≤0,030 P"
1.4565;EN, Европа;;Европа;csv:Спец сплавы.csv;P500;≤0,03;23,00-26,00;3,00-5,00;;;;16,00-19,00;3,50-6,50;≤1,00;≤0,015;;;;;"Fe Баланс; 0,300-0,600 N, ≤0,150 Nb, ≤0,030 P"
AMAGNIT 3890 mod;;;;csv:Спец сплавы.csv;;<0,05;13;0,5;;;;0,35;20;0,5;<0,005;;;;;"Fe Баланс; 0,3 N2"
X 3 MnCrNiMoN 20 13;;;;csv:Спец сплавы.csv;;≤0,06;18,3-20,0;≥0,50;;;;~13,0;20,5-21,6;;;;;;;"Fe Баланс; ≥0,60 N"
TWZ-3HS (P550);;;;csv:Спец сплавы.csv;;≤0,06;18,30-20,00;≥0,50;;;;1,40 мин;20,50-21,60;;;;;;;"Fe Баланс; ≥0,60 N"
405;AISI, США;;США;csv:Ферритные стали.csv;S40500|1.4002;0,08;11,5-14,5;;;;;;1;1;0,03;0,04;;;;0,10 - 0,30 Al
S40500;UNS, США;;США;csv:Ферритные стали.csv;405|1.4002;0,08;11,5-14,5;;;;;;1;1;0,03;0,04;;;;0,10 - 0,30 Al
1.4002;EN, Европа;;Европа;csv:Ферритные стали.csv;405|S40500;0,08;11,5-14,5;;;;;;1;1;0,03;0,04;;;;0,10 - 0,30 Al
409;AISI, США;;США;csv:Ферритные стали.csv;S40900|1.4512;0,08;10,5-11,75;;;;;;1;1;0,045;0,045;;;;Ti, 6 × %C min,
S40900;UNS, США;;США;csv:Ферритные стали.csv;409|1.4512;0,08;10,5-11,75;;;;;;1;1;0,045;0,045;;;;Ti, 6 × %C min,
1.4512;EN, Европа;;Европа;csv:Ферритные стали.csv;409|S40900;0,08;10,5-11,75;;;;;;1;1;0,045;0,045;;;;Ti, 6 × %C min,
429;AISI, США;;США;csv:Ферритные стали.csv;S42900|1.4510;0,12;14,0-16,0;;;;;;1;1;0,03;0,04;;;;
S42900;UNS, США;;США;csv:Ферритные стали.csv;429|1.4510;0,12;14,0-16,0;;;;;;1;1;0,03;0,04;;;;
1.4510;EN, Европа;;Европа;csv:Ферритные стали.csv;429|S42900;0,12;14,0-16,0;;;;;;1;1;0,03;0,04;;;;
430Ti;AISI, США;;США;csv:Ферритные стали.csv;S43036;0,1;16,0-19,5;;;;;0,75;1;1;0,03;0,04;;;;Ti, 5 × %C min,, 0,75 max
S43036;UNS, США;;США;csv:Ферритные стали.csv;430Ti;0,1;16,0-19,5;;;;;0,75;1;1;0,03;0,04;;;;Ti, 5 × %C min,, 0,75 max
436;AISI, США;;США;csv:Ферритные стали.csv;S43600;0,12;16,0-18,0;0,75 - 1,25;;;;;1;1;0,03;0,04;;;;(Nb+Ta), 5 × %C min
S43600;UNS, США;;США;csv:Ферритные стали.csv;436;0,12;16,0-18,0;0,75 - 1,25;;;;;1;1;0,03;0,04;;;;(Nb+Ta), 5 × %C min
439;AISI, США;;США;csv:Ферритные стали.csv;S43035|1.4510;0,07;17,0-19,0;;;;;0,5;1;1;0,03;0,04;;;0,04 N max;"0,15 Al max,;"
S43035;UNS, США;;США;csv:Ферритные стали.csv;439|1.4510;0,07;17,0-19,0;;;;;0,5;1;1;0,03;0,04;;;0,04 N max;"0,15 Al max,;"
442;AISI, США;;США;csv:Ферритные стали.csv;S44200|1.4762;0,2;18,0-23,0;;;;;;1;1;0,03;0,04;;;;Ti, 0,20 + 4(%C + %N) min
S44200;UNS, США;;США;csv:Ферритные стали.csv;442|1.4762;0,2;18,0-23,0;;;;;;1;1;0,03;0,04;;;;Ti, 0,20 + 4(%C + %N) min
1.4762;EN, Европа;;Европа;csv:Ферритные стали.csv;442|S44200;0,2;18,0-23,0;;;;;;1;1;0,03;0,04;;;;Ti, 0,20 + 4(%C + %N) min
444;AISI, США;;США;csv:Ферритные стали.csv;S44400|1.4521;0,025;17,5-19,5;;;;;1;1;1;0,03;0,04;;;;Ti, 0,20 + 4(%C + %N) min,
S44400;UNS, США;;США;csv:Ферритные стали.csv;444|1.4521;0,025;17,5-19,5;;;;;1;1;1;0,03;0,04;;;;Ti, 0,20 + 4(%C + %N) min,
1.4521;EN, Европа;;Европа;csv:Ферритные стали.csv;444|S44400;0,025;17,5-19,5;;;;;1;1;1;0,03;0,04;;;;Ti, 0,20 + 4(%C + %N) min,
446;AISI, США;;США;csv:Ферритные стали.csv;S44600|1.4762;0,2;23,0-27,0;;;;;;1,5;1;0,03;0,04;;;0,25 N;
S44600;UNS, США;;США;csv:Ферритные стали.csv;446|1.4762;0,2;23,0-27,0;;;;;;1,5;1;0,03;0,04;;;0,25 N;
26-1;AISI, США;;США;csv:Ферритные стали.csv;S44626;0,006;25,0-27,0;0,75 - 1,50;;;;0,5;0,75;0,75;0,02;0,04;;;0,04 N;0,20-1,0 Ti
S44626;UNS, США;;США;csv:Ферритные стали.csv;26-1;0,006;25,0-27,0;0,75 - 1,50;;;;0,5;0,75;0,75;0,02;0,04;;;0,04 N;0,20-1,0 Ti
29-4;AISI, США;;США;csv:Ферритные стали.csv;S44700;0,01;28,0-30,0;3,5 - 4,2;;;;0,15;0,2;0,3;0,02;0,025;;;;"0,020 Ni; 0,015 Cu"
S44700;UNS, США;;США;csv:Ферритные стали.csv;29-4;0,01;28,0-30,0;3,5 - 4,2;;;;0,15;0,2;0,3;0,02;0,025;;;;"0,020 Ni; 0,015 Cu"
29-4-2;AISI, США;;США;csv:Ферритные стали.csv;S44800;0,01;28,0-30,0;3,5 - 4,2;;;;2,0-2,5;0,2;0,3;0,02;0,025;;;;0,020 Ni, 0,015 Cu
S44800;UNS, США;;США;csv:Ферритные стали.csv;29-4-2;0,01;28,0-30,0;3,5 - 4,2;;;;2,0-2,5;0,2;0,3;0,02;0,025;;;;0,020 Ni, 0,015 Cu
CB-30;AISI, США;;США;csv:Ферритные стали.csv;J91803;0,3;18,0-21,0;;;;;2;1,5;1;0,04;0,04;;;;
J91803;UNS, США;;США;csv:Ферритные стали.csv;CB-30;0,3;18,0-21,0;;;;;2;1,5;1;0,04;0,04;;;;
CC-50;AISI, США;;США;csv:Ферритные стали.csv;J92616;0,5;26,0-30,0;;;;;4;1,5;1;0,04;0,04;;;;
J92616;UNS, США;;США;csv:Ферритные стали.csv;CC-50;0,5;26,0-30,0;;;;;4;1,5;1;0,04;0,04;;;;
1,4713;AISI, США;;США;csv:Ферритные стали.csv;-|1.4713;0,12;6,00-8,00;;;;;;1,00;0,50-1,00;0,015;0,040;;;;0,50-1,00 Al
1.4713;EN, Европа;;Европа;csv:Ферритные стали.csv;1,4713|-;0,12;6,00-8,00;;;;;;1,00;0,50-1,00;0,015;0,040;;;;0,50-1,00 Al
"1.4742
Alleima® 4C54";AISI, США;;США;csv:Ферритные стали.csv;-|1.4742;0,12;17,00-19,00;;;;;;1,00;0,70-1,40;0,015;0,040;;;;0,70-1,20 Al
1.4742;EN, Европа;;Европа;csv:Ферритные стали.csv;"1.4742
Alleima® 4C54|-";0,12;17,00-19,00;;;;;;1,00;0,70-1,40;0,015;0,040;;;;0,70-1,20 Al
E-BRITE®;AISI, США;;США;csv:Ферритные стали.csv;S44726;0,01;25-27;0,75-1,5;;;;0,3;0,4;0,4;0,02;0,02;;;0,015;0,05-0,20 Nb
S44726;UNS, США;;США;csv:Ферритные стали.csv;E-BRITE®;0,01;25-27;0,75-1,5;;;;0,3;0,4;0,4;0,02;0,02;;;0,015;0,05-0,20 Nb
MONIT™;AISI, США;;США;csv:Ферритные стали.csv;S44635;0,025;24,5-26;3,5-4,5;;;;3,5-4,5;1;0,75;0,02;0,04;;;0,035;[0,20 + 4(C + N)] ≤ (Nb + Ti) ≤ 0,80
S44635;UNS, США;;США;csv:Ферритные стали.csv;MONIT™;0,025;24,5-26;3,5-4,5;;;;3,5-4,5;1;0,75;0,02;0,04;;;0,035;[0,20 + 4(C + N)] ≤ (Nb + Ti) ≤ 0,80
SEA-CURE®;AISI, США;;США;csv:Ферритные стали.csv;S44660;0,025;25-27;2,5-3,5;;;;1,5-3,5;1;1;0,03;0,04;;;0,04;[0,20 + 4(C + N)] ≤ (Nb + Ti) ≤ 0,80
S44660;UNS, США;;США;csv:Ферритные стали.csv;SEA-CURE®;0,025;25-27;2,5-3,5;;;;1,5-3,5;1;1;0,03;0,04;;;0,04;[0,20 + 4(C + N)] ≤ (Nb + Ti) ≤ 0,80
AL 29-4;AISI, США;;США;csv:Ферритные стали.csv;S44700;0,01;28-30;3,5-4,2;;;;0,15;0,3;0,2;0,02;0,025;;;0,02;6(C + N) ≤ (Nb + Ti) ≤ 1,0
AL 29-4C;AISI, США;;США;csv:Ферритные стали.csv;S44735;0,03;28-30;3,6-4,2;;;;1;1;1;0,03;0,04;;;0,045;
S44735;UNS, США;;США;csv:Ферритные стали.csv;AL 29-4C;0,03;28-30;3,6-4,2;;;;1;1;1;0,03;0,04;;;0,045;
AL 29-4-2;AISI, США;;США;csv:Ферритные стали.csv;S44800;0,01;28-30;3,5-4,2;;;;2,0-2,5;0,3;0,2;0,02;0,02;;;0,02;
SHOMAC® 30-2;AISI, США;;США;csv:Ферритные стали.csv;—;0,003;30;2;;;;0,2;0,05;;;;;;0,007;
