grade;standard;manufacturer;country;source;analogues;c;cr;mo;v;w;co;ni;mn;si;s;p;cu;nb;n;tech
2714 ISO-B Mod;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;1.2714;0,52;1,10;0,75;0,10;;;2,00;0,95;0,25;;;;;;
W321 ISODISC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;1.2885;0,39;2,90;2,80;0,65;;;;0,35;0,30;;;;;;Co=2,9
BALDER;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;0,30;2,30;0,80;0,80;;;4,00;1,20;0,30;;;;;;
W320 ISODISC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;2365 ISO-B|1.2365;0,31;2,90;2,80;0,50;;;;0,35;0,30;;;;;;
2365 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;W320 ISODISC|1.2365;0,31;2,90;2,80;0,50;;;;0,35;0,30;;;;;;
W720;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;1.6354;0,01;;5,00;;;;18,50;0,10;0,05;;;;;;Co=9, Ti=0,7, Al=0,1
1.6354;EN, Европа;;Европа;csv:Марки ВЭМ.csv;W720;0,01;;5,00;;;;18,50;0,10;0,05;;;;;;Co=9, Ti=0,7, Al=0,1
W300 ISODISC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;VIDAR 1|2343 ISO-B|1.2343;0,38;5,00;1,30;0,40;;;;0,40;1,10;;;;;;
VIDAR 1;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;W300 ISODISC|2343 ISO-B|1.2343;0,38;5,00;1,30;0,40;;;;0,40;1,10;;;;;;
2343 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;W300 ISODISC|VIDAR 1|1.2343;0,38;5,00;1,30;0,40;;;;0,40;1,10;;;;;;
W300 ISOBLOC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;VIDAR 1 ESR|2343 ISO-B ESR|1.2343;0,38;5,00;1,30;0,40;;;;0,40;1,10;;;;;;
VIDAR 1 ESR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;W300 ISOBLOC|2343 ISO-B ESR|1.2343;0,38;5,00;1,30;0,40;;;;0,40;1,10;;;;;;
2343 ISO-B ESR;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;W300 ISOBLOC|VIDAR 1 ESR|1.2343;0,38;5,00;1,30;0,40;;;;0,40;1,10;;;;;;
VIDAR SUPERIOR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;1.2343;0,36;5,00;1,30;0,50;;;;0,30;0,30;;;;;;
W400 VMR;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;1.2343;0,37;5,00;1,30;0,45;;;;0,25;0,20;;;;;;
Conqueror SuperClean;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;1.2343;;;;;;;;;;;;;;;
BURE (Orvar 2M);Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;1.2344;0,39;5,30;1,30;0,95;;;;0,40;1,10;;;;;;
ORVAR 2M;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;W302 ISODISC|2344-ISO-B|1.2344;0,39;5,30;1,30;0,95;;;;0,40;1,10;;;;;;
2344-ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;W302 ISODISC|ORVAR 2M|1.2344;0,39;5,30;1,30;0,95;;;;0,40;1,10;;;;;;
W302 ISOBLOC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;ORVAR SUPREME|1.2344;0,39;5,20;1,40;0,95;;;;0,40;1,10;;;;;;
ORVAR SUPREME;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;W302 ISOBLOC|1.2344;0,39;5,20;1,40;0,95;;;;0,40;1,10;;;;;;
