grade;standard;manufacturer;country;source
2842;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
ARNE;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
2510;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
RIGOR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
2363 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
2080;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
К105;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
К107;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
SVERKER 3;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
2436 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
К110;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
SVERKER 21;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
2379 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
CALDIE;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
SLEIPNER;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
K340 ISODUR;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
K360 ISODUR;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
K890 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
K490 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
VANADIS 4 Extra;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
VANADIS 8;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
K390 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
VANCRON SUPERCLEAN;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
S630;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
S730;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
S690 Microclean (S693);Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
S790 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
VANADIS 23;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
1.3345ASP 2023;EN, Европа;;Европа;csv:Марки ВЭМ.csv
VANADIS 30;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
1.3244ASP 2030;EN, Европа;;Европа;csv:Марки ВЭМ.csv
VANADIS 60;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
1.3241ASP 2060;EN, Европа;;Европа;csv:Марки ВЭМ.csv
S290 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
MC90;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
