grade;link;db_standard;expected_standard;standard_expected_source;cc;country_cc;country_card;maker_card;maker_table;status
IMV;https://zknives.com/knives/steels/imv.shtml;zknives.com, Международная база;"Inman &amp; Co, Словения";card_maker;SI;Словения;Великобритания;"Inman &amp; Co";Metal Ravne;placeholder
H42;https://zknives.com/knives/steels/h42.shtml;zknives.com, Международная база;Jessop Saville, Словения;card_maker;SI;Словения;Великобритания;Jessop Saville;Metal Ravne;placeholder
CNS1;https://zknives.com/knives/steels/cns1.shtml;zknives.com, Международная база;Metal Ravne, Словения;table_maker;SI;Словения;США;;Metal Ravne;placeholder
CH16V;https://zknives.com/knives/steels/ch16v.shtml;zknives.com, Международная база;"Kind &amp; Co, Словения";card_maker;SI;Словения;Германия;"Kind &amp; Co";Metal Ravne;placeholder
LSS D2;https://zknives.com/knives/steels/lss_d2.shtml;zknives.com, Международная база;Latrobe, Словения;card_maker;SI;Словения;США;Latrobe;Metal Ravne;placeholder
Olympic;https://zknives.com/knives/steels/olympic.shtml;zknives.com, Международная база;Latrobe, Словения;card_maker;SI;Словения;США;Latrobe;Metal Ravne;placeholder
Olympic FM;https://zknives.com/knives/steels/olympic_fm.shtml;zknives.com, Международная база;Latrobe, Словения;card_maker;SI;Словения;США;Latrobe;Metal Ravne;placeholder
LO-K 2379;https://zknives.com/knives/steels/lo-k_2379.shtml;zknives.com, Международная база;Lohmann, Словения;card_maker;SI;Словения;Германия;Lohmann;Metal Ravne;placeholder
DUYOS2379;https://zknives.com/knives/steels/duyos2379.shtml;zknives.com, Международная база;Lucchini, Словения;card_maker;SI;Словения;Италия;Lucchini;Metal Ravne;placeholder
Usaspead;https://zknives.com/knives/steels/usaspead.shtml;zknives.com, Международная база;Macreadys, Словения;card_maker;SI;Словения;Великобритания;Macreadys;Metal Ravne;placeholder
OCR12VM;https://zknives.com/knives/steels/ocr12vm.shtml;zknives.com, Международная база;Metal Ravne, Словения;card_maker;SI;Словения;Словения;Metal Ravne;Metal Ravne;placeholder
R31;https://zknives.com/knives/steels/r31.shtml;zknives.com, Международная база;Metal Ravne, Словения;table_maker;SI;Словения;Япония;;Metal Ravne;placeholder
CDS11;https://zknives.com/knives/steels/cds11.shtml;zknives.com, Международная база;Nachi Fujikoshi, Словения;card_maker;SI;Словения;Япония;Nachi Fujikoshi;Metal Ravne;placeholder
KD11V;https://zknives.com/knives/steels/kd11v.shtml;zknives.com, Международная база;Nippon Koshuha, Словения;card_maker;SI;Словения;Япония;Nippon Koshuha;Metal Ravne;placeholder
KD11;https://zknives.com/knives/steels/kd11.shtml;zknives.com, Международная база;Nippon Koshuha, Словения;card_maker;SI;Словения;Япония;Nippon Koshuha;Metal Ravne;placeholder
KD11S;https://zknives.com/knives/steels/kd11s.shtml;zknives.com, Международная база;Nippon Koshuha, Словения;card_maker;SI;Словения;Япония;Nippon Koshuha;Metal Ravne;placeholder
NRM;https://zknives.com/knives/steels/nrm.shtml;zknives.com, Международная база;Novo, Словения;card_maker;SI;Словения;Великобритания;Novo;Metal Ravne;placeholder
FMP336;https://zknives.com/knives/steels/fmp336.shtml;zknives.com, Международная база;Parkin, Словения;card_maker;SI;Словения;Великобритания;Parkin;Metal Ravne;placeholder
2002R;https://zknives.com/knives/steels/2002r.shtml;zknives.com, Международная база;Poldi, Словения;card_maker;SI;Словения;Чехия;Poldi;Metal Ravne;placeholder
Aristocrat;https://zknives.com/knives/steels/aristocrat.shtml;zknives.com, Международная база;Precision Marshall, Словения;card_maker;SI;Словения;США;Precision Marshall;Metal Ravne;placeholder
RD11;https://zknives.com/knives/steels/rd11.shtml;zknives.com, Международная база;Riken Seiko, Словения;card_maker;SI;Словения;Япония;Riken Seiko;Metal Ravne;placeholder
