grade;standard;manufacturer;country;source;c;cr;mo;v;w;co;ni;mn;si;s;p;cu;nb;n;tech
ASP2030M3:2+Co;Erasteel, Франция;Erasteel;Франция;marki_stalei_check;1,26-1,31;;;5,95-6,70;2,90-3,20;;;;;0,03;0,03;;;0;PM
T41901S1;;;США;marki_stalei_check;0,45-0,55;;;0,15-0,30;1,00-3,00;;;;;0,03;0,03;;;0;
T41907S7;;;США;marki_stalei_check;0,45-0,55;;;0,20-0,30;0;;;;;0,03;0,03;;;0;
1.2838145V33;;;Германия;marki_stalei_check;1,40-1,50;;;3,00-3,50;0;;;;;0,03;0,03;;;0;
25CrMo44130;;;Германия;marki_stalei_check;0,22-0,28;;;0;0;;;;;0,035;0,035;;;0;
G413004130;;;США;marki_stalei_check;0,28-0,33;;;0;0;;;;;0,04;0,035;;;0;
Shirogami 1BShirogami 1;Hitachi, Япония;Hitachi;Япония;marki_stalei_check;1,20-1,30;;;0;0;;;;;0,004;0,025;;;0;
Shirogami 2AShirogami 2;Hitachi, Япония;Hitachi;Япония;marki_stalei_check;1,10-1,20;;;0;0;;;;;0,004;0,025;;;0;
Shirogami 2BShirogami 2;Hitachi, Япония;Hitachi;Япония;marki_stalei_check;1,00-1,10;;;0;0;;;;;0,004;0,025;;;0;
Aogami 1BAogami 1;Hitachi, Япония;Hitachi;Япония;marki_stalei_check;1,20-1,30;;;0;1,50-2,00;;;;;0,004;0,025;;;0;
Aogami 2BAogami 2;Hitachi, Япония;Hitachi;Япония;marki_stalei_check;1,00-1,10;;;0;1,00-1,50;;;;;0,004;0,025;;;0;
Aogami 2AAogami 2;Hitachi, Япония;Hitachi;Япония;marki_stalei_check;1,10-1,20;;;0;1,00-1,50;;;;;0,004;0,025;;;0;
1.2319X64CrMo14;;;Германия;marki_stalei_check;0,60-0,70;;;0,05-0,15;0;;;;;0,025;0,025;;;0;
SK4W110;;;Япония;marki_stalei_check;0,90-1,00;;;0;0;;;;;0,03;0,03;;;0;
YK4W110;Daido, Япония;Daido;Япония;marki_stalei_check;0,90-1,00;;;0;0;;;;;;;;;0;
1.27676F7;;;Германия;marki_stalei_check;0,45;;;0;0;;;;;;;;;0;
1.4116420MoV;;;Германия;marki_stalei_check;0,45-0,55;;;0,10-0,20;0;;;;;0,000-0,015;0,000-0,040;;;0;
1.4110X55CrMo14;;;Германия;marki_stalei_check;0,48-0,60;;;0,00-0,15;0;;;;;0,015;0,04;;;0;
40CrMnMo7P20;;;Германия;marki_stalei_check;0,35-0,45;;;0;0;;;;;0,035;0,035;;;0;
HMT12VWM8;Nachi Fujikoshi, Япония;Nachi Fujikoshi;Япония;marki_stalei_check;1,25;;;2,8;3,5;;;;;;;;;0;
Vancron 40 SuperCleanVancron 40;Bohler-Uddeholm, Швеция;Bohler-Uddeholm;Швеция;marki_stalei_check;1,1;;;8,5;3,7;;;;;;;;;1,8;PM
Silver 1CTS-BD1;Hitachi, Япония;Hitachi;Япония;marki_stalei_check;0,80-0,90;;;0;0;;;;;0,020-0,030;0,020-0,030;;;0;
