Марка AISI и брендовые;UNS;EN;C;Mn;Si;Cr;Ni;P;S;Mo;N;Cu;Прочие элементы;;;;;;
Аустенитные;;;;;;;;;;;;;;;;;;;
316H;S31609;1.4401;0,04-0,10;2,0;1,00;16,0-18,0;10,0-14,0;0,040;0,03;2,0-3,0 Mo;;;;;;;;;
316L;S31603;1.4404;0,03;2,0;1,00;16,0-18,0;10,0-14,0;0,045;0,03;2,0-3,0 Mo;;;;;;;;;
;S31635;;0,08;≤2,00;≤1,00;16,0-18,0;10,0-14,0;≤0,045;≤0,030;2,0-3,0;—;—;—;;;;;;
317;S31700;;0,08;2,0;1,00;18,0-20,0;10,0-15,0;0,045;0,03;3,0-4,0 Mo;;;;;;;;;
317L;S31703;1.4438;0,03;2,0;1,00;18,0-20,0;10,0-15,0;0,045;0,03;3,0-4,0 Mo;;;;;;;;;
321;S32100;1.4541;0,08;2,0;1,00;17,0-19,0;9,0-12,0;0,045;0,03;;;;5 × %C Ti min;;;;;;
329;S32900;;0,20;2,0;0,75;23,0-28,0;2,5-5,0;0,045;0,03;1,0-2,0 Mo;;;;;;;;;
347/347H;S34700;1.4550;0,08;≤2,00;≤1,00;17,0-19,0;9,0-13,0;≤0,045;≤0,030;—;—;—;Nb: 10×C to 1,0;;;;;;
Alleima® 353 MA;S35315;1.4835;0,05;1,60;2,00;25,0;35,0;0,040;0,015;1,20;0,17;—;"Ce: 0,03-0,08; N: 0,17";;;;;;
Sanicro® 25;;1.4959;0,10;≤0,50;≤0,50;22,5;25,0;≤0,030;≤0,010;3,6;0,23;3,0;"W: 1,5; Co: 1,5; Nb: 0,5";;;;;;
20 Cb3™;N08020;2.4660;0,07;2;1;19-21;32-38;0,045;0,03;2-3;—;3-4;8 × %C ≤ Nb ≤ 1,0;;;;;;
20 Mo6™;N08026;2.4858;0,03;1;0,5;22-26;33-37;0,03;0,03;5-6,7;—;2-4;—;;;;;;
SANICRO™ 28;N08028;1.4563;0,03;2,5;1;26-28;29,5-32,5;0,03;0,03;3-4;—;0,6-1,4;—;;;;;;
SANICRO™ 35;N08035;;0,015;≤1,50;≤0,50;27,0-29,0;33,0-37,0;≤0,040;≤0,030;2,5-3,5;0,15-0,25;1,0-2,5;"Si: ≤0,50; Mn: ≤1,50; W: 3,5-5,0; Cu: 1,0-2,5; Co: ≤5,0";;;;;;
AL-6XN®;N08367;1.4547;0,03;2;1;20-22;23,5-25,5;0,04;0,03;6-7;0,18-0,25;0,75;8 × %C ≤ Nb ≤ 0,5;;;;;;
JST™ 700;N08700;;0,04;2;1;19-23;24-26;0,03;0,03;4,3-5,0;—;0,5;—;;;;;;
904L;N08904;1.4539;0,02;2;1;19-23;23-28;0,045;0,035;4-5;—;1-2;—;;;;;;
1925hMo, 25-6Mo™;N08925;1.4529;0,02;1;0,5;19-21;24-26;0,045;0,03;6-7;0,1-0,20;0,8-1,5;—;;;;;;
Alloy 926;N08926;1.4529;0,02;2;0,5;19-21;24-26;0,03;0,01;6-7;0,15-0,25;0,5-1,5;—;;;;;;
254SMO™;S31254;1.4547;0,02;1;0,8;19,5-20,5;17,5-18,5;0,03;0,01;6,0-6,5;0,18-0,22;0,5-1,0;—;;;;;;
317LM;S31725;;0,03;2;0,75;18-20;13-17;0,045;0,03;4-5;—;—;—;;;;;;
17-14-4 LN;S31726;;0,03;2;0,75;17-20;13,5-17,5;0,03;0,03;4-5;0,10-0,20;—;—;;;;;;
;;;;;;;;;;;;;;;;;;;
