Grade;Base;C;Cr;Mo;V;W;Co;Ni;Mn;Si;S;P;Cu;Nb;N;Tech;Maker;CC
"Micro-Melt M4M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,45;4,5;4,5;4;5,75;0;0;0,4;0,4;0,13;?;0;0;0;MM;Carpenter;US
"CPM M4*M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,40-1,42;4;5,20-5,25;4;5,5;0;0;0,3;0,55;0,06;0,03;0;0;0;CPM;Crucible;US
"PM M4M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,25-1,40;3,75-4,75;4,25-5,50;3,75-4,50;5,25-6,50;0;0;0,15-0,40;0,20-0,45;0,03;0,03;0;0;0;;Diehl;US
"PMD M4M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,35;4,2;4,5;4;5,8;0;0;?;?;?;?;0;0;0;PM;Dorrenberg;DE
"ASP2004*M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,4;4,2;5;4,1;5,8;0;0;?;?;?;?;0;0;0;PM;Erasteel;FR
"GPM4M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,35;4,3;4,9;4,1;5,9;0;0;?;?;0,03;0,03;0;0;0;PM;Geruk;DE
"Stark*M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
DuraTech M4*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,32;4,5;4,4;3,85;5,35;0;0;0,25;0,3;?;?;0;0;0;;Latrobe;US
"DuraTech M4*M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech Mega4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,45;4,5;5,2;3,85;5,5;0;0;0,25;0,25;?;?;0;0;0;PM;Latrobe;US
"DuraTech Mega4*M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
M4PM
LO-QPM M4
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,5;4;2,5;4;2,5;0;0;?;?;0,01;?;0;0;0;PM;Latrobe;US
"LO-QPM M4M4*
PMHS6-5-4
1.3394*
1.3361
HS654*
HS6-5-4
SKH54*
X130WMoCrV 06-05-04-04*
W6Mo5Cr4V4*
R6M5F4*
T11304
Alpha4
Supra1*
DBL4
ASPM4*
Atlas M4
S693 MICROCLEAN*
S693
S692 MICROCLEAN*
S692
Braefour
Carpenter Four Star
Four Star
Micro-Melt M4
Molite42
CPM Rex M4(HC)
CPM M4*
PM M4
PMD M4
EM4
ASP2004*
GPM4
HYM4*
XVC11
H&R No.7
KHA33
Mega4
Stark*
DuraTech M4*
DuraTech Mega4*
M4PM
BRM4*
MAC-C
HM4
CSW20
SIRapid 3351
TSP4
Neatro";Fe;1,4;4,8;5;4,1;5,5;0;0;0,3;0,3;?;?;0;0;0;PM;Lohmann;DE
