Grade;Base;C;Cr;Mo;V;W;Co;Ni;Mn;Si;S;P;Cu;Nb;N;Tech;Maker;CC
"11Cr17440C*
X105CrMo17*
X90CrMoV18
X102CrMo17
1.4125
X102CrMo17*
SUS440C*
Z100CD17*
Z100CD13
X102CrMo17KU*
9Cr18*
9Cr18Mo*
108Cr17*
95Cr18*
102Cr17Mo*
17042
95X18*
95KH18
110X18
110KH18
110X18M
110X18MSHD*
110KH18MSHD*
S44004
H18*
X108Cr17Mo*
99Cr18MoV*
PreMar 440C
XDBD
N695
T10MO
CTS-40CP*
CTS-40C
DAP440C
XT-80*
Chronifer M17C
LO-R 4125
PK348
SM3
RFSh6
Premar 440C
Remanit4125
4125";Fe;0,95-1,20;16,00-18,00;0,75;0;0;0;0,6;1;1;0,03;0,04;0;0;0;;;CN
"9Cr18*440C*
X105CrMo17*
X90CrMoV18
X102CrMo17
1.4125
X102CrMo17*
SUS440C*
Z100CD17*
Z100CD13
X102CrMo17KU*
11Cr17
9Cr18Mo*
108Cr17*
95Cr18*
102Cr17Mo*
17042
95X18*
95KH18
110X18
110KH18
110X18M
110X18MSHD*
110KH18MSHD*
S44004
H18*
X108Cr17Mo*
99Cr18MoV*
PreMar 440C
XDBD
N695
T10MO
CTS-40CP*
CTS-40C
DAP440C
XT-80*
Chronifer M17C
LO-R 4125
PK348
SM3
RFSh6
Premar 440C
Remanit4125
4125";Fe;0,90-1,00;17,00-19,00;0;0;0;0;0,6;0,8;0,8;0,03;0,04;0;0;0;;;CN
"9Cr18Mo*440C*
X105CrMo17*
X90CrMoV18
X102CrMo17
1.4125
X102CrMo17*
SUS440C*
Z100CD17*
Z100CD13
X102CrMo17KU*
11Cr17
9Cr18*
108Cr17*
95Cr18*
102Cr17Mo*
17042
95X18*
95KH18
110X18
110KH18
110X18M
110X18MSHD*
110KH18MSHD*
S44004
H18*
X108Cr17Mo*
99Cr18MoV*
PreMar 440C
XDBD
N695
T10MO
CTS-40CP*
CTS-40C
DAP440C
XT-80*
Chronifer M17C
LO-R 4125
PK348
SM3
RFSh6
Premar 440C
Remanit4125
4125";Fe;0,95-1,10;16,00-18,00;0,40-0,70;0;0;0;0,6;0,8;0,8;0,03;0,04;0;0;0;;;CN
"108Cr17*440C*
X105CrMo17*
X90CrMoV18
X102CrMo17
1.4125
X102CrMo17*
SUS440C*
Z100CD17*
Z100CD13
X102CrMo17KU*
11Cr17
9Cr18*
9Cr18Mo*
95Cr18*
102Cr17Mo*
17042
95X18*
95KH18
110X18
110KH18
110X18M
110X18MSHD*
110KH18MSHD*
S44004
H18*
X108Cr17Mo*
99Cr18MoV*
PreMar 440C
XDBD
N695
T10MO
CTS-40CP*
CTS-40C
DAP440C
XT-80*
Chronifer M17C
LO-R 4125
PK348
SM3
RFSh6
Premar 440C
Remanit4125
4125";Fe;0,95-1,20;16,00-18,00;0,75;0;0;0;0,6;1;1;0,03;0,04;0;0;0;;;CN
"95Cr18*440C*
X105CrMo17*
X90CrMoV18
X102CrMo17
1.4125
X102CrMo17*
SUS440C*
Z100CD17*
Z100CD13
X102CrMo17KU*
11Cr17
9Cr18*
9Cr18Mo*
108Cr17*
102Cr17Mo*
17042
95X18*
95KH18
110X18
110KH18
110X18M
110X18MSHD*
110KH18MSHD*
S44004
H18*
X108Cr17Mo*
99Cr18MoV*
PreMar 440C
XDBD
N695
T10MO
CTS-40CP*
CTS-40C
DAP440C
XT-80*
Chronifer M17C
LO-R 4125
PK348
SM3
RFSh6
Premar 440C
Remanit4125
4125";Fe;0,90-1,00;17,00-19,00;0;0;0;0;0,6;0,8;0,8;0,03;0,04;0;0;0;;;CN
"102Cr17Mo*440C*
X105CrMo17*
X90CrMoV18
X102CrMo17
1.4125
X102CrMo17*
SUS440C*
Z100CD17*
Z100CD13
X102CrMo17KU*
11Cr17
9Cr18*
9Cr18Mo*
108Cr17*
95Cr18*
17042
95X18*
95KH18
110X18
110KH18
110X18M
110X18MSHD*
110KH18MSHD*
S44004
H18*
X108Cr17Mo*
99Cr18MoV*
PreMar 440C
XDBD
N695
T10MO
CTS-40CP*
CTS-40C
DAP440C
XT-80*
Chronifer M17C
LO-R 4125
PK348
SM3
RFSh6
Premar 440C
Remanit4125
4125";Fe;0,90-1,00;17,00-19,00;0;0;0;0;0,6;0,8;0,8;0,03;0,04;0;0;0;;;CN
"95X18*440C*
X105CrMo17*
X90CrMoV18
X102CrMo17
1.4125
X102CrMo17*
SUS440C*
Z100CD17*
Z100CD13
X102CrMo17KU*
11Cr17
9Cr18*
9Cr18Mo*
108Cr17*
95Cr18*
102Cr17Mo*
17042
95KH18
110X18
110KH18
110X18M
110X18MSHD*
110KH18MSHD*
S44004
H18*
X108Cr17Mo*
99Cr18MoV*
PreMar 440C
XDBD
N695
T10MO
CTS-40CP*
CTS-40C
DAP440C
XT-80*
Chronifer M17C
LO-R 4125
PK348
SM3
RFSh6
Premar 440C
Remanit4125
4125";Fe;0,95-1,00;17,00-19,00;0;0;0;0;0,6;0,8;0,8;0,025;0,03;0,03;0;0;;;RU
"110X18MSHD*440C*
X105CrMo17*
X90CrMoV18
X102CrMo17
1.4125
X102CrMo17*
SUS440C*
Z100CD17*
Z100CD13
X102CrMo17KU*
11Cr17
9Cr18*
9Cr18Mo*
108Cr17*
95Cr18*
102Cr17Mo*
17042
95X18*
95KH18
110X18
110KH18
110X18M
110KH18MSHD*
S44004
H18*
X108Cr17Mo*
99Cr18MoV*
PreMar 440C
XDBD
N695
T10MO
CTS-40CP*
CTS-40C
DAP440C
XT-80*
Chronifer M17C
LO-R 4125
PK348
SM3
RFSh6
Premar 440C
Remanit4125
4125";Fe;1,10-1,20;16,50-18,00;0,50-0,80;0,00-0,20;0,00-0,20;0;0,00-0,30;0,50-1,00;0,53-0,93;0,000-0,025;0,000-0,015;0,00-0,30;0;0;ESR;;RU
"S44004440C*
X105CrMo17*
X90CrMoV18
X102CrMo17
1.4125
X102CrMo17*
SUS440C*
Z100CD17*
Z100CD13
X102CrMo17KU*
11Cr17
9Cr18*
9Cr18Mo*
108Cr17*
95Cr18*
102Cr17Mo*
17042
95X18*
95KH18
110X18
110KH18
110X18M
110X18MSHD*
110KH18MSHD*
H18*
X108Cr17Mo*
99Cr18MoV*
PreMar 440C
XDBD
N695
T10MO
CTS-40CP*
CTS-40C
DAP440C
XT-80*
Chronifer M17C
LO-R 4125
PK348
SM3
RFSh6
Premar 440C
Remanit4125
4125";Fe;0,95-1,20;16,00-18,00;0,75;0;0;0;0;1;1;0,03;0,04;0;0;0;;;US
"99Cr18MoV*440C*
X105CrMo17*
X90CrMoV18
X102CrMo17
1.4125
X102CrMo17*
SUS440C*
Z100CD17*
Z100CD13
X102CrMo17KU*
11Cr17
9Cr18*
9Cr18Mo*
108Cr17*
95Cr18*
102Cr17Mo*
17042
95X18*
95KH18
110X18
110KH18
110X18M
110X18MSHD*
110KH18MSHD*
S44004
H18*
X108Cr17Mo*
PreMar 440C
XDBD
N695
T10MO
CTS-40CP*
CTS-40C
DAP440C
XT-80*
Chronifer M17C
LO-R 4125
PK348
SM3
RFSh6
Premar 440C
Remanit4125
4125";Fe;0,96-1,20;16,00-18,00;0,45;0,12;0;0;0,6;0,8;0,8;0,000-0,030;0,000-0,040;0;0;0;ESR;Ahonest Changjiang;CN
"X110CrMoV15*440B
1.4111
AC4A*
2534-05*
RFSh1";Fe;1,1;15;0,5;0,12;0;0;0;1;1;?;?;0;0;0;;;DE
"1.4111440B
X110CrMoV15*
AC4A*
2534-05*
RFSh1";Fe;1,1;15;0,5;0,12;0;0;0;1;1;?;?;0;0;0;;;DE
"X30CrMoNi1-5-1*1.4108
N360 IsoExtra*
N360
DE4108
Cronidur 30*
Cronidur 30 EVO*
Cronidur30
Cronidur30 EVO*
NIROSTA4108
LC 200 N
Z-FiNit
LC200N*";Fe;0,25-0,35;14,00-16,00;0,85-1,10;0;0;0;0,5;1;0,40-1,00;?;?;0;0;0,30-0,50;;;DE
"1.4108X30CrMoNi1-5-1*
N360 IsoExtra*
N360
DE4108
Cronidur 30*
Cronidur 30 EVO*
Cronidur30
Cronidur30 EVO*
NIROSTA4108
LC 200 N
Z-FiNit
LC200N*";Fe;0,25-0,35;14,00-16,00;0,85-1,10;0;0;0;0,5;1;0,40-1,00;?;?;0;0;0,30-0,50;;;DE
"Cronidur 30*X30CrMoNi1-5-1*
1.4108
N360 IsoExtra*
N360
DE4108
Cronidur 30 EVO*
Cronidur30
Cronidur30 EVO*
NIROSTA4108
LC 200 N
Z-FiNit
LC200N*";Fe;0,25-0,35;14,00-16,00;0,85-1,10;0;0;0;0,5;1;0,40-1,00;?;?;0;0;0,30-0,50;;Krupp;DE
"LC200N*X30CrMoNi1-5-1*
1.4108
N360 IsoExtra*
N360
DE4108
Cronidur 30*
Cronidur 30 EVO*
Cronidur30
Cronidur30 EVO*
NIROSTA4108
LC 200 N
Z-FiNit";Fe;0,3;15;0,95;0;0;0;0,5;1;?;?;?;0;0;0,5;ESR;Zapp;DE
"420Mod*X38CrV14*
1.2083
X42Cr13*
SUS420J2
2314*
X40Cr14*
C.4175
F.5263*
S-136
RamaxS
X13T6
BE2083
M310
Stavax
Mirrax-40*
BA83
ISO-B
P1008
CSM 420 XL
PKD
K45
ES120K
ES120K ESR
2083
BFR40
WM40
HPM38
RF
KTSM420
Saxman6R
Kaylos2083
KSP1
BPS2
BM260
AK4R
QPD5
RH
Formadur 2083
Staro
Thyroplast2083
TES2083
VP420IM
VP420
WR413
C135M";Fe;0,38;13,6;0;0,3;0;0;0;0,5;0,75;0,03;?;0;0;0;;;US
"Stavax420Mod*
X38CrV14*
1.2083
X42Cr13*
SUS420J2
2314*
X40Cr14*
C.4175
F.5263*
S-136
RamaxS
X13T6
BE2083
M310
Mirrax-40*
BA83
ISO-B
P1008
CSM 420 XL
PKD
K45
ES120K
ES120K ESR
2083
BFR40
WM40
HPM38
RF
KTSM420
Saxman6R
Kaylos2083
KSP1
BPS2
BM260
AK4R
QPD5
RH
Formadur 2083
Staro
Thyroplast2083
TES2083
VP420IM
VP420
WR413
C135M";Fe;0,38;13,6;0;0,3;0;0;0;?;0,9;?;?;0;0;0;ESR;Bohler-Uddeholm;SE
"BPS2420Mod*
X38CrV14*
1.2083
X42Cr13*
SUS420J2
2314*
X40Cr14*
C.4175
F.5263*
S-136
RamaxS
X13T6
BE2083
M310
Stavax
Mirrax-40*
BA83
ISO-B
P1008
CSM 420 XL
PKD
K45
ES120K
ES120K ESR
2083
BFR40
WM40
HPM38
RF
KTSM420
Saxman6R
Kaylos2083
KSP1
BM260
AK4R
QPD5
RH
Formadur 2083
Staro
Thyroplast2083
TES2083
VP420IM
VP420
WR413
C135M";Fe;0,4;13;0;0;0;0;0;0,35;0,45;?;?;0;0;0;;Ossenberg;DE
"420*X21Cr13*
X20Cr13
1.4021
1.2082
SUS420J1
420J1
2303*
Z20C13*
420S37
CDS-18*
X39Cr13
X20Cr13*
X21Cr13Ku
3Cr13
2Cr13*
20Cr13
30Cr13
17022
19434*
C.4172*
F.3402*
X20Cr13
20H13
40X13
20Ch13
20KH13*
20X13
S42000
2H13*
X40Cr13*
HEMS1A*
RamaxLH
RamaxHH
RAB420
N320
M310
N540
P1008
P1008R
420 Plus
CSM420
DSR1K2
DSR20
DSR20HA
Galahad D
INOX-1
INOX-4021
HI-PM38
HI-PM38S
RF-Spezial
Coracid420
PK3
Korronit-M
AK2 Special
Ruetom Special
Reutom
Blanco M1
Blanco M3
Blanco RCM
Irrubigo 4021
Inox2
Remanit 4021
20Cr13
Uginox MA2
VC150";Fe;0,15;12,00-14,00;0;0;0;0;0;1;1;0,03;0,04;0,09;0;0;;;US
"S42000420*
X21Cr13*
X20Cr13
1.4021
1.2082
SUS420J1
420J1
2303*
Z20C13*
420S37
CDS-18*
X39Cr13
X20Cr13*
X21Cr13Ku
3Cr13
2Cr13*
20Cr13
30Cr13
17022
19434*
C.4172*
F.3402*
X20Cr13
20H13
40X13
20Ch13
20KH13*
20X13
2H13*
X40Cr13*
HEMS1A*
RamaxLH
RamaxHH
RAB420
N320
M310
N540
P1008
P1008R
420 Plus
CSM420
DSR1K2
DSR20
DSR20HA
Galahad D
INOX-1
INOX-4021
HI-PM38
HI-PM38S
RF-Spezial
Coracid420
PK3
Korronit-M
AK2 Special
Ruetom Special
Reutom
Blanco M1
Blanco M3
Blanco RCM
Irrubigo 4021
Inox2
Remanit 4021
20Cr13
Uginox MA2
VC150";Fe;0,15;12,00-14,00;0;0;0;0;0;1;1;0,03;0,04;0,09;0;0;;;US
"X40Cr13*420
X39Cr13
1.4031
X38Cr13*
X39Cr13
SUS420J2
Z40C14
X39Cr13*
4Cr13*
40Cr13
YTG136
17024*
F.3404*
40KH13*
40X13
40CH13
S42000
40Cr130*
KO13*
4Cr13Mo*
N540
Breda CMC*
Korronit-H
40Cr13";Fe;0,4;13;0;0;0;0;0;1;1;?;?;0;0;0;;;DE
"1.4031420
X40Cr13*
X39Cr13
X38Cr13*
X39Cr13
SUS420J2
Z40C14
X39Cr13*
4Cr13*
40Cr13
YTG136
17024*
F.3404*
40KH13*
40X13
40CH13
S42000
40Cr130*
KO13*
4Cr13Mo*
N540
Breda CMC*
Korronit-H
40Cr13";Fe;0,4;13;0;0;0;0;0;1;1;?;?;0;0;0;;;DE
"4Cr13*420
X40Cr13*
X39Cr13
1.4031
X38Cr13*
X39Cr13
SUS420J2
Z40C14
X39Cr13*
40Cr13
YTG136
17024*
F.3404*
40KH13*
40X13
40CH13
S42000
40Cr130*
KO13*
4Cr13Mo*
N540
Breda CMC*
Korronit-H
40Cr13";Fe;0,36-0,45;12,00-14,00;0;0;0;0;0,6;1;1;0,03;0,04;0;0;0;;;CN
"40Cr13420
X40Cr13*
X39Cr13
1.4031
X38Cr13*
X39Cr13
SUS420J2
Z40C14
X39Cr13*
4Cr13*
YTG136
17024*
F.3404*
40KH13*
40X13
40CH13
S42000
40Cr130*
KO13*
4Cr13Mo*
N540
Breda CMC*
Korronit-H
40Cr13";Fe;0,36-0,45;12,00-14,00;0;0;0;0;0,6;1;1;0,03;0,04;0;0;0;;;CN
"17024*420
X40Cr13*
X39Cr13
1.4031
X38Cr13*
X39Cr13
SUS420J2
Z40C14
X39Cr13*
4Cr13*
40Cr13
YTG136
F.3404*
40KH13*
40X13
40CH13
S42000
40Cr130*
KO13*
4Cr13Mo*
N540
Breda CMC*
Korronit-H
40Cr13";Fe;0,36-0,45;12,00-14,00;0;0;0;0;0;0,8;0,7;0,035;0,04;0;0;0;;;CZ
"40KH13*420
X40Cr13*
X39Cr13
1.4031
X38Cr13*
X39Cr13
SUS420J2
Z40C14
X39Cr13*
4Cr13*
40Cr13
YTG136
17024*
F.3404*
40X13
40CH13
S42000
40Cr130*
KO13*
4Cr13Mo*
N540
Breda CMC*
Korronit-H
40Cr13";Fe;0,35-0,40;13;0;0;0;0;0;0,35;0,3;0,03;0,03;0;0;0;;;RU
"4Cr13Mo*420
X40Cr13*
X39Cr13
1.4031
X38Cr13*
X39Cr13
SUS420J2
Z40C14
X39Cr13*
4Cr13*
40Cr13
YTG136
17024*
F.3404*
40KH13*
40X13
40CH13
S42000
40Cr130*
KO13*
N540
Breda CMC*
Korronit-H
40Cr13";Fe;0,36-0,40;12,15-12,45;0,45-0,50;0;0;0;0,00-0,30;0,35-0,65;0,40-0,65;0,03;0,035;0;0;0;;Ahonest Changjiang;CN
"X46Cr13*1.4034
X46Cr13*
SUS420J2
2304*
Z40CM*
Z38C13M
Z8CA12
Z40C14
420S45*
56D
X6CrAl13*
X40Cr14
17029*
17024
C.4175*
F.3405*
E426
4H13*
BE4034
N540
Diro-X46Cr13
R45
RF40
RM13H
Coracid420-46
RF
LO-R 4034
PK4EX
RF4
PMC145
Corronon4
REMANIT4034
NIROSTA4034
4034*
X45Cr13
Uginox MA4
K40
ARGESTE 1.4034";Fe;0,43-0,50;12,50-14,50;0;0;0;0;0;1;1;0,015;0,04;0;0;0;;;DE
"1.4034X46Cr13*
X46Cr13*
SUS420J2
2304*
Z40CM*
Z38C13M
Z8CA12
Z40C14
420S45*
56D
X6CrAl13*
X40Cr14
17029*
17024
C.4175*
F.3405*
E426
4H13*
BE4034
N540
Diro-X46Cr13
R45
RF40
RM13H
Coracid420-46
RF
LO-R 4034
PK4EX
RF4
PMC145
Corronon4
REMANIT4034
NIROSTA4034
4034*
X45Cr13
Uginox MA4
K40
ARGESTE 1.4034";Fe;0,43-0,50;12,50-14,50;0;0;0;0;0;1;1;0,015;0,04;0;0;0;;;DE
"X46Cr13*X46Cr13*
1.4034
SUS420J2
2304*
Z40CM*
Z38C13M
Z8CA12
Z40C14
420S45*
56D
X6CrAl13*
X40Cr14
17029*
17024
C.4175*
F.3405*
E426
4H13*
BE4034
N540
Diro-X46Cr13
R45
RF40
RM13H
Coracid420-46
RF
LO-R 4034
PK4EX
RF4
PMC145
Corronon4
REMANIT4034
NIROSTA4034
4034*
X45Cr13
Uginox MA4
K40
ARGESTE 1.4034";Fe;0,43-0,50;12,50-14,50;0;0;0;0;0;1;1;0,015;0,04;0;0;0;;;EU
"17029*X46Cr13*
1.4034
X46Cr13*
SUS420J2
2304*
Z40CM*
Z38C13M
Z8CA12
Z40C14
420S45*
56D
X6CrAl13*
X40Cr14
17024
C.4175*
F.3405*
E426
4H13*
BE4034
N540
Diro-X46Cr13
R45
RF40
RM13H
Coracid420-46
RF
LO-R 4034
PK4EX
RF4
PMC145
Corronon4
REMANIT4034
NIROSTA4034
4034*
X45Cr13
Uginox MA4
K40
ARGESTE 1.4034";Fe;0,40-0,50;14,00-16,00;0;0;0;0;0;0,9;0,7;0,035;0,04;0;0;0;;;CZ
"4034*X46Cr13*
1.4034
X46Cr13*
SUS420J2
2304*
Z40CM*
Z38C13M
Z8CA12
Z40C14
420S45*
56D
X6CrAl13*
X40Cr14
17029*
17024
C.4175*
F.3405*
E426
4H13*
BE4034
N540
Diro-X46Cr13
R45
RF40
RM13H
Coracid420-46
RF
LO-R 4034
PK4EX
RF4
PMC145
Corronon4
REMANIT4034
NIROSTA4034
X45Cr13
Uginox MA4
K40
ARGESTE 1.4034";Fe;0,42-0,50;12,50-14,50;0;0;0;0;0;1;?;?;?;0;0;0;;Thyssen-Krupp;DE
"Uginox MA4X46Cr13*
1.4034
X46Cr13*
SUS420J2
2304*
Z40CM*
Z38C13M
Z8CA12
Z40C14
420S45*
56D
X6CrAl13*
X40Cr14
17029*
17024
C.4175*
F.3405*
E426
4H13*
BE4034
N540
Diro-X46Cr13
R45
RF40
RM13H
Coracid420-46
RF
LO-R 4034
PK4EX
RF4
PMC145
Corronon4
REMANIT4034
NIROSTA4034
4034*
X45Cr13
K40
ARGESTE 1.4034";Fe;0,46;13,8;0;0;0;0;0;0,3;0,35;?;?;0;0;0;;Ugine & Alz;FR
"440B*X90CrMoV18*
X91CrMoV18
1.4112
1.2361
X90CrMoV18*
SUS440B*
2327*
Z2CND1805*
X90CrMoV18*
X90CrMoV18*
8Cr17*
9Cr18MoV*
85Cr17
90Cr18MoV*
17042*
C.4772*
X90CrMoV18*
S44003
STS440B*
BE4112
RO189
N685 EXTRA
N685 ISOEXTRA*
R17X
RF90
RS11
Coracid4112
RM189
Coracid440B
Chronifer M17B
LO-R 4112
OCR6
SM2
RFSh2
Korronit-C
PMCo189
AK9
Formadur 2361
SIHard 2361
REMANIT4112
X90CrMoC18
NIROSTA4112
V440BC*
CROMOVA 18*
K90L
ARGESTE 1.4112";Fe;0,75-0,95;16,00-18,00;0,75;0;0;0;0;1;1;0,03;0,04;0;0;0;;;US
"X90CrMoV18*440B*
X91CrMoV18
1.4112
1.2361
X90CrMoV18*
SUS440B*
2327*
Z2CND1805*
X90CrMoV18*
X90CrMoV18*
8Cr17*
9Cr18MoV*
85Cr17
90Cr18MoV*
17042*
C.4772*
X90CrMoV18*
S44003
STS440B*
BE4112
RO189
N685 EXTRA
N685 ISOEXTRA*
R17X
RF90
RS11
Coracid4112
RM189
Coracid440B
Chronifer M17B
LO-R 4112
OCR6
SM2
RFSh2
Korronit-C
PMCo189
AK9
Formadur 2361
SIHard 2361
REMANIT4112
X90CrMoC18
NIROSTA4112
V440BC*
CROMOVA 18*
K90L
ARGESTE 1.4112";Fe;0,85-0,95;17,00-19,00;0,90-1,30;0,07-0,12;0,14;0;0,3;0,39-1,00;0,40-1,00;0,004-0,020;0,026-0,040;0,12;0;0;;;DE
"1.4112440B*
X90CrMoV18*
X91CrMoV18
1.2361
X90CrMoV18*
SUS440B*
2327*
Z2CND1805*
X90CrMoV18*
X90CrMoV18*
8Cr17*
9Cr18MoV*
85Cr17
90Cr18MoV*
17042*
C.4772*
X90CrMoV18*
S44003
STS440B*
BE4112
RO189
N685 EXTRA
N685 ISOEXTRA*
R17X
RF90
RS11
Coracid4112
RM189
Coracid440B
Chronifer M17B
LO-R 4112
OCR6
SM2
RFSh2
Korronit-C
PMCo189
AK9
Formadur 2361
SIHard 2361
REMANIT4112
X90CrMoC18
NIROSTA4112
V440BC*
CROMOVA 18*
K90L
ARGESTE 1.4112";Fe;0,85-0,95;17,00-19,00;0,90-1,30;0,07-0,12;0,14;0;0,3;0,39-1,00;0,40-1,00;0,004-0,020;0,026-0,040;0,12;0;0;;;DE
"X90CrMoV18*440B*
X90CrMoV18*
X91CrMoV18
1.4112
1.2361
SUS440B*
2327*
Z2CND1805*
X90CrMoV18*
X90CrMoV18*
8Cr17*
9Cr18MoV*
85Cr17
90Cr18MoV*
17042*
C.4772*
X90CrMoV18*
S44003
STS440B*
BE4112
RO189
N685 EXTRA
N685 ISOEXTRA*
R17X
RF90
RS11
Coracid4112
RM189
Coracid440B
Chronifer M17B
LO-R 4112
OCR6
SM2
RFSh2
Korronit-C
PMCo189
AK9
Formadur 2361
SIHard 2361
REMANIT4112
X90CrMoC18
NIROSTA4112
V440BC*
CROMOVA 18*
K90L
ARGESTE 1.4112";Fe;0,85-0,95;17,00-19,00;0,90-1,30;0,07-0,12;0,14;0;0,3;0,39-1,00;0,40-1,00;0,004-0,020;0,026-0,040;0,12;0;0;;;EU
"Z2CND1805*440B*
X90CrMoV18*
X91CrMoV18
1.4112
1.2361
X90CrMoV18*
SUS440B*
2327*
X90CrMoV18*
X90CrMoV18*
8Cr17*
9Cr18MoV*
85Cr17
90Cr18MoV*
17042*
C.4772*
X90CrMoV18*
S44003
STS440B*
BE4112
RO189
N685 EXTRA
N685 ISOEXTRA*
R17X
RF90
RS11
Coracid4112
RM189
Coracid440B
Chronifer M17B
LO-R 4112
OCR6
SM2
RFSh2
Korronit-C
PMCo189
AK9
Formadur 2361
SIHard 2361
REMANIT4112
X90CrMoC18
NIROSTA4112
V440BC*
CROMOVA 18*
K90L
ARGESTE 1.4112";Fe;0,85-0,95;17,00-19,00;0,90-1,30;0,07-0,12;0,14;0;0,3;0,39-1,00;0,40-1,00;0,004-0,020;0,026-0,040;0,12;0;0;;;FR
"X90CrMoV18*440B*
X90CrMoV18*
X91CrMoV18
1.4112
1.2361
X90CrMoV18*
SUS440B*
2327*
Z2CND1805*
X90CrMoV18*
8Cr17*
9Cr18MoV*
85Cr17
90Cr18MoV*
17042*
C.4772*
X90CrMoV18*
S44003
STS440B*
BE4112
RO189
N685 EXTRA
N685 ISOEXTRA*
R17X
RF90
RS11
Coracid4112
RM189
Coracid440B
Chronifer M17B
LO-R 4112
OCR6
SM2
RFSh2
Korronit-C
PMCo189
AK9
Formadur 2361
SIHard 2361
REMANIT4112
X90CrMoC18
NIROSTA4112
V440BC*
CROMOVA 18*
K90L
ARGESTE 1.4112";Fe;0,85-0,95;17,00-19,00;0,90-1,30;0,07-0,12;0,14;0;0,3;0,39-1,00;0,40-1,00;0,004-0,020;0,026-0,040;0,12;0;0;;;UK
"X90CrMoV18*440B*
X90CrMoV18*
X91CrMoV18
1.4112
1.2361
X90CrMoV18*
SUS440B*
2327*
Z2CND1805*
X90CrMoV18*
8Cr17*
9Cr18MoV*
85Cr17
90Cr18MoV*
17042*
C.4772*
X90CrMoV18*
S44003
STS440B*
BE4112
RO189
N685 EXTRA
N685 ISOEXTRA*
R17X
RF90
RS11
Coracid4112
RM189
Coracid440B
Chronifer M17B
LO-R 4112
OCR6
SM2
RFSh2
Korronit-C
PMCo189
AK9
Formadur 2361
SIHard 2361
REMANIT4112
X90CrMoC18
NIROSTA4112
V440BC*
CROMOVA 18*
K90L
ARGESTE 1.4112";Fe;0,85-0,95;17,00-19,00;0,90-1,30;0,07-0,12;0,14;0;0,3;0,39-1,00;0,40-1,00;0,004-0,020;0,026-0,040;0,12;0;0;;;IT
"8Cr17*440B*
X90CrMoV18*
X91CrMoV18
1.4112
1.2361
X90CrMoV18*
SUS440B*
2327*
Z2CND1805*
X90CrMoV18*
X90CrMoV18*
9Cr18MoV*
85Cr17
90Cr18MoV*
17042*
C.4772*
X90CrMoV18*
S44003
STS440B*
BE4112
RO189
N685 EXTRA
N685 ISOEXTRA*
R17X
RF90
RS11
Coracid4112
RM189
Coracid440B
Chronifer M17B
LO-R 4112
OCR6
SM2
RFSh2
Korronit-C
PMCo189
AK9
Formadur 2361
SIHard 2361
REMANIT4112
X90CrMoC18
NIROSTA4112
V440BC*
CROMOVA 18*
K90L
ARGESTE 1.4112";Fe;0,75-0,95;16,00-18,00;0,75;0;0;0;0,00-0,60;1;1;0,03;0,04;0;0;0;;;CN
"9Cr18MoV*440B*
X90CrMoV18*
X91CrMoV18
1.4112
1.2361
X90CrMoV18*
SUS440B*
2327*
Z2CND1805*
X90CrMoV18*
X90CrMoV18*
8Cr17*
85Cr17
90Cr18MoV*
17042*
C.4772*
X90CrMoV18*
S44003
STS440B*
BE4112
RO189
N685 EXTRA
N685 ISOEXTRA*
R17X
RF90
RS11
Coracid4112
RM189
Coracid440B
Chronifer M17B
LO-R 4112
OCR6
SM2
RFSh2
Korronit-C
PMCo189
AK9
Formadur 2361
SIHard 2361
REMANIT4112
X90CrMoC18
NIROSTA4112
V440BC*
CROMOVA 18*
K90L
ARGESTE 1.4112";Fe;0,85-0,95;17,00-19,00;1,00-1,30;0,07-0,12;0;0;0,6;0,8;0,8;0,03;0,04;0;0;0;;;CN
"85Cr17440B*
X90CrMoV18*
X91CrMoV18
1.4112
1.2361
X90CrMoV18*
SUS440B*
2327*
Z2CND1805*
X90CrMoV18*
X90CrMoV18*
8Cr17*
9Cr18MoV*
90Cr18MoV*
17042*
C.4772*
X90CrMoV18*
S44003
STS440B*
BE4112
RO189
N685 EXTRA
N685 ISOEXTRA*
R17X
RF90
RS11
Coracid4112
RM189
Coracid440B
Chronifer M17B
LO-R 4112
OCR6
SM2
RFSh2
Korronit-C
PMCo189
AK9
Formadur 2361
SIHard 2361
REMANIT4112
X90CrMoC18
NIROSTA4112
V440BC*
CROMOVA 18*
K90L
ARGESTE 1.4112";Fe;0,75-0,95;16,00-18,00;0,75;0;0;0;0,00-0,60;1;1;0,03;0,04;0;0;0;;;CN
"90Cr18MoV*440B*
X90CrMoV18*
X91CrMoV18
1.4112
1.2361
X90CrMoV18*
SUS440B*
2327*
Z2CND1805*
X90CrMoV18*
X90CrMoV18*
8Cr17*
9Cr18MoV*
85Cr17
17042*
C.4772*
X90CrMoV18*
S44003
STS440B*
BE4112
RO189
N685 EXTRA
N685 ISOEXTRA*
R17X
RF90
RS11
Coracid4112
RM189
Coracid440B
Chronifer M17B
LO-R 4112
OCR6
SM2
RFSh2
Korronit-C
PMCo189
AK9
Formadur 2361
SIHard 2361
REMANIT4112
X90CrMoC18
NIROSTA4112
V440BC*
CROMOVA 18*
K90L
ARGESTE 1.4112";Fe;0,85-0,95;17,00-19,00;1,00-1,30;0,07-0,12;0;0;0,6;0,8;0,8;0,03;0,04;0;0;0;;;CN
