;;;;;ХИМИЧЕСКИЙ СОСТАВ, %;;;;;;;;
Bohler;Uddeholm;Buderus;EN;Метод производства;C;Si;Mn;Cr;Mo;Ni;V;W;проч
S730;;;~1.3243;Стандартный;0,94;0,4;0,3;4,1;4,2;;2,0;4,3;"Co=4,75
Al=0,5"
S500;;;1.3247;Стандартный;1,1;0,5;0,25;3,9;9,2;;1,0;1,4;Co=7,8
S690 Microclean (S693);;;~1.3351;Порошк. металл.;1,35;0,6;0,3;4,1;5,0;;4,1;5,9;
S790 Microclean;VANADIS 23;;"1.3345
~ASP 2023";Порошк. металл.;1,29;0,6;0,3;4,2;5,0;;3,1;6,4;
S590 Microclean;VANADIS 30;;"1.3244
~ASP 2030";Порошк. металл.;1,29;0,6;0,3;4,2;5,0;;3,1;6,4;"Co=8,4
Co=8,5"
S390 Microclean;;;;Порошк. металл.;1,64;0,45;0,3;4,8;2,0;;4,8;10,4;Co=8,0
;VANADIS 60;;"1.3241
~ASP 2060";Порошк. металл.;2,3;0,6;0,3;4,2;7;;6,5;6,5;Co=10,5
S290 Microclean;;;;Порошк. металл.;2,0;0,5;0,3;3,8;2,5;;5,1;14,3;Co=11,0
MC90;;;;Порошк. металл.;;0,6;0,2;;15,0;;;;Co=25
S200;;;1.3247;Стандартный;0,8;0,3;0,30;4,1;;;1,1;18,0;Co=7,8
