link,title,maker,country,cc,country_raw
https://zknives.com/knives/steels/rus.shtml,"Secosar RUS Knife SteelComposition Analysis Graph, Equivalents And Overview",Secosar,Франция,FR,France(FR)
https://zknives.com/knives/steels/rustless_17hc90.shtml,"Armco Rustless 17HC90 Knife SteelComposition Analysis Graph, Equivalents And Overview",Armco,США,US,United States(US)
https://zknives.com/knives/steels/rw3.shtml,"Rochling RW3 Knife SteelComposition Analysis Graph, Equivalents And Overview",Rochling,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/rw4.shtml,"Saarstahl RW4 Knife SteelComposition Analysis Graph, Equivalents And Overview",Saarstahl,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/rwl-34.shtml,"Damasteel RWL-34 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/rw5.shtml,"Saarstahl RW5 Knife SteelComposition Analysis Graph, Equivalents And Overview",Saarstahl,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s-136.shtml,"Assab S-136 Knife SteelComposition Analysis Graph, Equivalents And Overview",Assab,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s-star.shtml,"Daido S-Star Knife SteelComposition Analysis Graph, Equivalents And Overview",Daido,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/s-magic.shtml,"Hitachi S-Magic Knife SteelComposition Analysis Graph, Equivalents And Overview",Hitachi,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/s.o.d..shtml,"Braeburn S.O.D. Knife SteelComposition Analysis Graph, Equivalents And Overview",Braeburn,США,US,United States(US)
https://zknives.com/knives/steels/s1-2-1-4.shtml,"DIN S1-2-1-4 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s1-5-1-8.shtml,"DIN S1-5-1-8 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s1-8-1-2-1-0.shtml,"DIN S1-8-1-2-1-0 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s1-8-1.shtml,"DIN S1-8-1 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s1.shtml,"AISI S1 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s10-2-5-8.shtml,"DIN S10-2-5-8 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s10-4-3-1-0.shtml,"DIN S10-4-3-1-0 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s10-4-3-10.shtml,"DIN S10-4-3-10 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s10-5-3-9.shtml,"DIN S10-5-3-9 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s101.shtml,"MSZ S101 Knife SteelComposition Analysis Graph, Equivalents And Overview",MSZ,Hungary,HU,Hungary(HU)
https://zknives.com/knives/steels/s110v.shtml,"Crucible S110V Knife SteelComposition Analysis Graph, Equivalents And Overview",Crucible,США,US,United States(US)
https://zknives.com/knives/steels/s102.shtml,"MSZ S102 Knife SteelComposition Analysis Graph, Equivalents And Overview",MSZ,Hungary,HU,Hungary(HU)
