grade,analogues,base,c,cr,mo,v,w,co,ni,mn,si,s,p,cu,nb,n,other,tech,standard,manufacturer,link
ПСр2.5С,,Fe,,,,,,,,,,,,,,,Fe 0-0.15; Pb 96.99-97.55; AG 2.3-2.7; BI 0-0.01; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2532
ПСр25,,Fe,,,,,,,,,,,,39-41,,,Fe 0-0.1; Pb 0-0.05; Zn 33.39-36.15; AG 24.7-25.3; BI 0-0.005; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2518
ПСр25Ф,,Fe,,,,,,,,,,,4.5-5.5,68.68-70.85,,,Fe 0-0.15; Pb 0-0.01; AG 24.5-25.5; BI 0-0.01; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2519
ПСр3,,Fe,,,,,,,,,,,,,,,Fe 0-0.15; Pb 96.39-97.15; AG 2.7-3.3; BI 0-0.01; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2527
ПСр37.5,,Fe,,,,,,,,7.9-8.5,,,,47.19-49.95,,,Fe 0-0.1; Pb 0-0.05; Zn 5-6; AG 37-38; BI 0-0.005; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2517
ПСр3Кд,,Fe,,,,,,,,,,,,,,,Fe 0-0.1; Pb 0-0.2; Zn 0.5-1.5; AG 2.5-3.5; BI 0-0.01; Cd 94.39-96.7; всего 0.3,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2530
ПСр40,,Fe,,,,,,,0.1-0.5,,,,,16-17.4,,,Fe 0-0.1; Pb 0-0.05; Zn 16.2-17.8; AG 39-41; BI 0-0.005; Cd 23.49-28.55; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2516
ПСр45,,Fe,,,,,,,,,,,,29.5-30.5,,,Fe 0-0.1; Pb 0-0.05; Zn 23.69-25.85; AG 44.5-45.5; BI 0-0.005; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2514
ПСр50,,Fe,,,,,,,,,,,,49.19-50.35,,,Fe 0-0.15; Pb 0-0.005; Zn 0-0.007; AG 49.5-50.5; BI 0-0.005; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2511
ПСр50Кд,,Fe,,,,,,,,,,,,15-17,,,Fe 0-0.1; Pb 0-0.1; Zn 15-17; AG 49.5-50.5; BI 0-0.005; Cd 15.14-20.35; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2512
ПСр62,,Fe,,,,,,,,,,,,27-29,,,Fe 0-0.15; Pb 0-0.005; AG 61.5-62.5; BI 0-0.005; Sn 8.19-11.35; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2510
ПСр65,,Fe,,,,,,,,,,,,19.5-20.5,,,Fe 0-0.1; Pb 0-0.1; Zn 14.14-15.85; AG 64.5-65.5; BI 0-0.005; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2509
ПСр70,,Fe,,,,,,,,,,,,25.5-26.5,,,Fe 0-0.1; Pb 0-0.05; Zn 2.69-4.85; AG 69.5-70.5; BI 0-0.005; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2507
