grade,analogues,base,c,cr,mo,v,w,co,ni,mn,si,s,p,cu,nb,n,other,tech,standard,manufacturer,link
АМг3,A95154 AA5154 3.3535 AIMg2.7Mn AlMg3 5154 5254 5154A 5454 AWAIMg3 ENAW-5754 ENAW-AlMg3 PAIMg3.5 AIMG3 424413 AIMGg3,Fe,,0-0.05,,,,,,0.3-0.6,0.5-0.8,,,0-0.1,,,Fe 0-0.5; Ti 0-0.1; Al 93.8-96; Mg 3.2-3.8; Zn 0-0.2; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1430
АМг3.5,5154 AlMg3.5,Fe,,0.15-0.35,,,,,,0-0.1,0-0.25,,,0-0.1,,,Fe 0-0.4; Ti 0-0.2; Al 94.5-96.75; BE 0-0.0008; Mg 3.1-3.9; Zn 0-0.2; прочие. каждая 0.05; всего 0.15; 0-0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1600
АМг3С,5254,Fe,,0-0.25,,,,,,0-0.6,0-0.5,,,0-0.1,,,Fe 0-0.5; Ti 0-0.2; Al 93.895-97.3; BE 0-0.005; Mg 2.7-3.6; Zn 0-0.2; прочие. каждая 0.05; всего 0.15,,"ГОСТ 4784-74, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1417
АМг4,AA5083 AA5086 3.3547 AlMg4.5Mn AlMg4Mn 5083 5086 A-G4MC ENAW-5086 ENAW-AlMg4 AlMg4,Fe,,0.05-0.25,,,,,,0.2-0.7,0-0.4,,,0-0.1,,,Fe 0-0.5; Ti 0-0.15; Al 93.15-96.23; BE 0.0002-0.005; Mg 3.5-4.5; Zn 0-0.25; прочие. каждая 0.05; всего 0.15,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1431
АМг4.5,A95083 3.3547 AIMg4.5 5082 5083 5183 ENAW-5083 ENAW-5086 ENAW-AlMg4 ENAW-AlMg4.5Mn0.7 PAIMg4.4 AIMg4.5Mn 424415 AlMg4.5,Fe,,0.05-0.25,,,,,,0.4-1,0-0.4,,,0-0.1,,,Fe 0-0.4; Ti 0-0.15; Al 92.545-95.55; BE 0-0.005; Mg 4-4.9; Zn 0-0.25; прочие. каждая 0.05; всего 0.15,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1418
АМг5,AA5056 3.3555 AlMg5 5056,Fe,,,,,,,,0.3-0.8,0-0.5,,,0-0.1,,,Fe 0-0.5; Ti 0.02-0.1; Al 91.9-94.68; BE 0.0002-0.005; Mg 4.8-5.8; Zn 0-0.2; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1432
АМг5П,,Fe,,,,,,,,0.2-0.6,0-0.4,,,0-0.2,,,Fe 0-0.4; Al 92.6-95.1; Mg 4.7-5.7; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1422
АМг6,,Fe,,,,,,,,0.5-0.8,0-0.4,,,0-0.1,,,Fe 0-0.4; Ti 0.02-0.1; Al 91.1-93.68; BE 0.0002-0.005; Mg 5.8-6.8; Zn 0-0.2; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1433
АМц,A93003 AA3003 3.0511 3.0515 AIMn1 AlMn1Cu 3003 3103 A-M1 AWAIMn1 ENAW-3003 ENAW-3103 ENAW-AlMn1 ENAW-AlMn1Cu PAIMn1.2Cu 424432 AlMn1,Fe,,,,,,,,1-1.5,0-0.6,,,0.05-0.2,,,Fe 0-0.7; Al 96.35-99; Zn 0-0.1; прочие. каждая 0.05; всего 0.15,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1428
АМцС,3003 A-M1 Al3003 AlMn1Cu,Fe,,,,,,,,1-1.4,0.15-0.35,,,0-0.1,,,Fe 0.25-0.45; Ti 0-0.1; Al 97.35-98.6; Mg 0-0.05; Zn 0-0.1; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1411
АЦпл,,Fe,,,,,,,,0-0.025,0-0.3,,,,,,Fe 0-0.3; Ti 0-0.15; Al 97.825-99.1; Zn 0.9-1.3; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1416
В65,,Fe,,,,,,,,0.3-0.5,0-0.25,,,3.9-4.5,,,Fe 0-0.2; Ti 0-0.1; Al 93.65-95.65; Mg 0.15-0.3; Zn 0-0.1; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1452
В93,,Fe,,,,,,,,0-0.1,0-0.2,,,0.8-1.2,,,Fe 0.2-0.45; Ti 0-0.1; Al 88.35-91.1; Mg 1.6-2.2; Zn 6.3-7.3; прочие. каждая 0.05; всего 0.1,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1446
В93пч,,Fe,,,,,,,,0-0.1,0-0.1,,,0.8-1.2,,,Fe 0.2-0.4; Ti 0-0.1; Al 88.6-90.9; Mg 1.6-2.2; Zn 6.5-7.3; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1606
В94,,Fe,,0-0.05,,,,,0-0.1,0-0.1,0-0.2,,,1.8-2.4,,,Fe 0-0.2; Ti 0.02-0.08; Al 88.47-91.08; Mg 1.2-1.6; Zn 5.9-6.8; прочие. каждая 0.05; всего 0.1,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1447
В95,7075 A97075 AA7075 3.4365 AlZnMgCu1.5 A-Z5GU L95 L96 ENAW-7075 ENAW-AlZn5.5MgCu AiZn5.8MgCuCr P-AlZn5.8MgCuCr AIZn6Mg2Cu 424222 AIZn6Mg2Cu1.5 AlZn5.5MgCu AlZn6MgCu,Fe,,0.1-0.25,,,,,0-0.1,0.2-0.6,0-0.5,,,1.4-2,,,Fe 0-0.5; Ti 0-0.05; Al 86.3-91.5; Mg 1.8-2.8; Zn 5-7; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1448
В95-1,,Fe,,0-0.25,,,,,0-0.2,0.2-0.8,0-1.5,,,1-3,,,Fe 0-1; Al 88.85-97.4; Mg 0.6-2.6; Zn 0.8-2; прочие. каждая 0.05; всего 0.2; Ti+Zr 0-0.2,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1607
В95-2,,Fe,,0-0.25,,,,,0-0.2,0.2-0.8,0-1.5,,,1-3,,,Fe 0-0.9; Al 84.25-95.8; Mg 1-2.8; Zn 2-6.5; прочие. каждая 0.05; всего 0.2; Ti+Zr 0-0.15,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1608
В95оч,,Fe,,0.1-0.25,,,,,,0.2-0.6,0-0.1,,,1.4-2,,,Fe 0-0.15; Ti 0-0.05; Al 87.55-91.5; Mg 1.8-2.8; Zn 5-6.5; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1604
В95П,,Fe,,0.1-0.25,,,,,,0.3-0.5,0-0.3,,,1.4-2,,,Fe 0-0.3; Al 87.45-90.7; Mg 2-2.6; Zn 5.5-6.5; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1420
В95пч,,Fe,,0.1-0.25,,,,,0-0.1,0.2-0.6,0-0.1,,,1.4-2,,,Fe 0.05-0.25; Ti 0-0.05; Al 87.45-91.45; Mg 1.8-2.8; Zn 5-6.5; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1605
В96,,Fe,,0.1-0.25,,,,,,0.2-0.5,0-0.3,,,2.2-2.8,,,Fe 0-0.5; Ti 0-0.05; Al 83.7-87.4; Mg 2.5-3.2; Zn 7.6-8.6; прочие. каждая 0.05; всего 0.1,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1449
В96ц,AA7049,Fe,,,,,,,,0-0.1,0-0.3,,,2-2.6,,,Fe 0-0.4; Ti 0-0.03; Al 84.27-87.6; Zr 0.1-0.2; Mg 2.3-3; Zn 8-9; прочие. каждая 0.05; всего 0.1,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1450
В96Ц1,,Fe,,,,,,,,0.3-0.8,0-0.3,,,2-2.6,,,Fe 0-0.3; Al 83.84-87.3; Zr 0.1-0.16; Mg 2.3-3; Zn 8-9,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1453
ВАК4,,Fe,,,,,,,0-1.5,0-0.3,0-1.2,,,0-3,,,Fe 0-1.3; Ti 0-0.1; Al 91.8-99; Mg 0-1.8; Zn 0-0.5; прочие. каждая 0.05; всего 0.2,,"ГОСТ 1131-76, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1616
ВАК6,,Fe,,0-0.35,,,,,0-0.1,0-1.2,0-1.2,,,0-4.8,,,Fe 0-0.8; Ti 0-0.15; Al 90-99; Mg 0-1; Zn 0-0.5; прочие. каждая 0.05; всего 0.2,,"ГОСТ 1131-76, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1617
ВД,,Fe,,,,,,,0-0.1,0-1,0-0.7,,,0-7,,,Fe 0-0.8; Ti 0-0.2; Al 87-99; Zr 0-0.2; Mg 0-2.6; Zn 0-0.5; прочие. каждая 0.05; всего 0.2,,"ГОСТ 1131-76, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1615
ВД1,,Fe,,,,,,,0-0.2,0.3-0.8,0-1,,,2-5,,,Fe 0-1; Ti 0-0.2; Al 89.7-97.3; Mg 0.4-1.6; Zn 0-0.7; прочие. каждая 0.05; всего 0.2,,"ГОСТ 1131-76, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1610
ВД17,,Fe,,,,,,,,0.45-0.7,0-0.3,,,2.6-3.2,,,Fe 0-0.3; Ti 0-0.1; Al 92.8-94.95; Mg 2-2.4; Zn 0-0.1; прочие. каждая 0.05; всего 0.1,,"ГОСТ 50066-92, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1440
Д1,A92017 AA2017 3.1325 AlCuMg1 2017 2017A AU4G2017A H14-150A ENAW-2017A ENAW-AlCu4MgSi(A) AICu4MgMnSi P-AICu4MgMn AICuMg1 424201 Al3.5Cu0.5Mg AlCu4MgSi,Fe,,0-0.1,,,,,,0.4-1,0.2-0.8,,,3.5-4.5,,,Fe 0-0.7; Ti 0-0.15; Al 91.7-95.5; Mg 0.4-0.8; Zn 0-0.25; прочие. каждая 0.05; всего 0.15; Ti+Zr 0-0.2,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1437
Д12,AA3004 AA3104 3.0526 3.3527 AlMn1Mg1 3004 A-M1G ENAW-3004 ENAW-AlMn1Mg1,Fe,,,,,,,,1-1.5,0-0.3,,,0-0.25,,,Fe 0-0.7; Al 95.7-98.2; Mg 0.8-1.3; Zn 0-0.25; прочие. каждая 0.05; всего 0.15,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1412
Д16,2024 AA2024 AA2124 3.1355 AlCuMg2 A-U4GI ENAW-2024 ENAW-AlCu4Mg1 P-AlCu4.4MgMn AICu4Mg2 424203 AICuMg2 Al4Cu1.2Mg AlCu4Mg1 AlCuMg1,Fe,,0-0.1,,,,,,0.3-0.9,0-0.5,,,3.8-4.9,,,Fe 0-0.5; Ti 0-0.15; Al 90.9-94.7; Mg 1.2-1.8; Zn 0-0.25; прочие. каждая 0.05; всего 0.15; Ti+Zr 0-0.2,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1438
Д16П,AlCuMg2pl 2024-F 424253,Fe,,,,,,,,0.3-0.7,0-0.5,,,3.8-4.5,,,Fe 0-0.5; Ti 0-0.1; Al 91.9-94.7; Mg 1.2-1.6; Zn 0-0.1; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1421
Д16ч,2124,Fe,,0-0.1,,,,,,0.3-0.9,0-0.2,,,3.8-4.9,,,Fe 0-0.3; Ti 0-0.15; Al 91.4-94.7; Mg 1.2-1.8; Zn 0-0.25; прочие. каждая 0.05; всего 0.15,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1593
Д18,AA2117 3.1305 AlCuMg0.5 2117 A-U2G2117 ENAW-2117 ENAW-AlCu2.5Mg P-AlCu2.5MgSi AlCu2.5Mg AlCu2Mg,Fe,,0-0.1,,,,,,0-0.2,0-0.5,,,2.2-3,,,Fe 0-0.5; Al 94.35-97.6; Mg 0.2-0.5; Zn 0-0.1; прочие. каждая 0.05; всего 0.15,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1451
Д19,,Fe,,,,,,,,0.5-1,0-0.5,,,3.8-4.3,,,Fe 0-0.5; Ti 0-0.1; Al 91.095-94; BE 0.0002-0.005; Mg 1.7-2.3; Zn 0-0.1; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1439
Д19П,,Fe,,,,,,,,0.5-0.8,0-0.3,,,3.2-3.7,,,Fe 0-0.3; Ti 0-0.1; Al 92.1-94.2; BE 0.0002-0.005; Mg 2.1-2.6; Zn 0-0.1; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1609
Д19ч,,Fe,,,,,,,,0.4-0.9,0-0.2,,,3.8-4.3,,,Fe 0-0.3; Ti 0-0.1; Al 91.8-94.1; BE 0.0002-0.005; Mg 1.7-2.3; Zn 0-0.1; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1594
Д1П,,Fe,,,,,,,,0.4-0.8,0-0.5,,,3.8-4.5,,,Fe 0-0.5; Ti 0-0.1; Al 92.65-95.4; Mg 0.4-0.8; Zn 0-0.1; прочие. каждая 0.05; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1419
Д20,,Fe,,,,,,,,0.4-0.8,0-0.3,,,6-7,,,Fe 0-0.3; Ti 0.1-0.2; Al 90.95-93.5; Zr 0-0.2; Mg 0-0.05; Zn 0-0.1; прочие. каждая 0.05; всего 0.1,,"ГОСТ 17232-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1441
Д21,,Fe,,,,,,,,0.4-0.8,0-0.3,,,6-7,,,Fe 0-0.3; Ti 0.1-0.2; Al 90.75-93.25; Mg 0.25-0.45; Zn 0-0.1; прочие. каждая 0.1; всего 0.05,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1442
ММ,AA3005 AA3006 AA3007 3.3528 3005 3105 ENAW-3005 ENAW-AlMn1Mg0.5 AlMnMg0.5,Fe,,0-0.1,,,,,,1-1.5,0-0.6,,,0-0.3,,,Fe 0-0.7; Ti 0-0.1; Al 95.85-98.8; Mg 0.2-0.6; Zn 0-0.25; прочие. каждая 0.05; всего 0.15,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1410
Св1201,,Fe,,,,0.05-0.15,,,,0.2-0.4,0-0.08,,,6-6.8,,,Fe 0-0.15; Ti 0.1-0.2; Al 91.9-93.55; Zr 0.1-0.25; Mg 0-0.02; Zn 0-0.05; прочие. каждая 0.001; всего 0.3,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1634
Св1557,,Fe,,0.07-0.15,,,,,,0.2-0.6,0-0.15,,,0-0.05,,,Fe 0-0.3; Al 92.9-95.03; Zr 0.2-0.35; BE 0.002-0.005; Mg 4.5-5.5; прочие. каждая 0.1; всего 0.6,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1627
Св1577пч,,Fe,,0.1-0.2,,,,,,0.5-0.8,0-0.1,,,0-0.1,,,Fe 0-0.15; Al 91.8-93.75; Zr 0.15-0.25; Mg 5.5-6.5; Zn 0-0.1; всего 0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1628
СвА5,,Fe,,,,,,,,,0.1-0.25,,,0-0.015,,,Fe 0.2-0.35; Al 99.5; прочие. каждая 0.05; всего 0.5,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1623
СвА85Т,,Fe,,,,,,,,,0-0.04,,,0-0.01,,,Fe 0-0.04; Ti 0.2-0.5; Al 99.38-99.8; Mg 0-0.01; Zn 0-0.02; всего 0.08,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1622
СвА97,,Fe,,,,,,,,,0-0.015,,,0-0.005,,,Fe 0-0.015; Al 99.97; прочие. каждая 0.01; всего 0.03,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1621
СвА99,,Fe,,,,,,,,,0-0.003,,,0-0.003,,,Fe 0-0.003; Al 99.99; Zn 0-0.003; прочие. каждая 0.001; всего 0.01,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1620
СвАК10,,Fe,,,,,,,,,7-10,,,0-0.1,,,Fe 0-0.6; Al 89-93; Mg 0-0.1; Zn 0-0.2; прочие. каждая 0.1; всего 1.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1633
СвАК5,,Fe,,,,,,,,,4.5-6,,,0-0.2,,,Fe 0-0.6; Ti 0.1-0.2; Al 93-95.4; прочие. каждая 0.1; всего 1.1; Zn+Sn 0-0.1,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1632
СвАК5у,,Fe,,,,,,,,,4.5-6,,,0-0.2,,,Fe 0-0.3; Ti 0.1-0.2; Al 93.3-95.4; прочие. каждая 0.1; всего 1,,"ГОСТ 7871-75, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1698
СвАМг3,,Fe,,,,,,,,0.3-0.6,0.5-0.8,,,0-0.05,,,Fe 0-0.5; Al 94.05-96; Mg 3.2-3.8; Zn 0-0.2; прочие. каждая 0.1; всего 0.85,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1625
СвАМг5,,Fe,,,,,,,,0.5-0.8,0-0.4,,,0-0.05,,,Fe 0-0.4; Ti 0.1-0.2; Al 92.25-94.7; BE 0.002-0.005; Mg 4.8-5.8; Zn 0-0.2; прочие. каждая 0.1; всего 1.4,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1626
СвАМг6,,Fe,,,,,,,,0.5-0.8,0-0.4,,,0-0.1,,,Fe 0-0.4; Ti 0.1-0.2; Al 91.1-93.6; BE 0.002-0.005; Mg 5.8-6.8; Zn 0-0.2; прочие. каждая 0.1; всего 1.2,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1629
СвАМг61,,Fe,,,,,,,,0.8-1.1,0-0.4,,,0-0.05,,,Fe 0-0.4; Al 91.23-93.7; Zr 0.002-0.12; BE 0.0001-0.0003; Mg 5.5-6.5; Zn 0-0.2; прочие. каждая 0.1; всего 1.15,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1631
СвАМг63,,Fe,,,,,,,,0.5-0.8,0-0.05,,,0-0.05,,,Fe 0-0.05; Al 91.85-93.55; Zr 0.15-0.35; BE 0.002-0.005; Mg 5.8-6.8; Zn 0-0.05; прочие. каждая 0.001; всего 0.15,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1630
СвАМц,,Fe,,,,,,,,1-1.5,0.2-0.4,,,0-0.2,,,Fe 0.3-0.5; Al 97.25-98.5; Mg 0-0.05; Zn 0-0.1; прочие. каждая 0.1; всего 1.35,,"ГОСТ 4784-97, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1624
Сил1С,,Fe,,,,,,,,0-0.5,10-12.5,,,0-0.02,,,Fe 0-0.5; Ti 0-0.15; Al 86.1-90; Ca 0-0.1; Mg 0-0.05; Zn 0-0.08; прочие. каждая 0.05;,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2543
Сил2С,,Fe,,,,,,,,0-0.1,8.5-9.5,,,0-0.03,,,Fe 0-0.2; Ti 0-0.1; Al 89.84-91.5; Ca 0-0.1; Mg 0-0.05; Zn 0-0.08; прочие. каждая 0.05;,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2544
АМК,,Fe,,,,,,,,0-0.1,9-11,,,0.8-1.2,,,Fe 0-0.4; Ti 0-0.1; Al 86.3-90.2; Mg 0-0.3; Sb 0-0.5; TE 0-0.1; прочих 0.3,,"ГОСТ 14113-78, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1576
АМСТ,,Fe,,,,,,,,0-0.2,0-0.5,,,0.7-1.2,,,Fe 0-0.75; Ti 0.03-0.12; Al 90.03-94.64; Zn 0-0.1; Sb 4.6-6.5; TE 0.03-0.3; прочих 0.3,,"ГОСТ 14113-78, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1110
АН-2.5,,Fe,,,,,,,2.7-3.3,,0-0.4,,,0-0.3,,,Fe 0-0.5; Al 95.4-97.3; прочих 0.1,,"ГОСТ 14113-78, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1108
АО12-1,,Fe,,,,,,,0.4-0.6,,,,,0.8-1.2,,,Fe 0-0.3; Al 84.5-87.8; Sn 11-14; прочих 0.55,,"ГОСТ 14113-78, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1577
АО20-1,,Fe,,,,,,,,,0-0.5,,,0.7-1.2,,,Fe 0-0.5; Ti 0.02-0.2; Al 74.35-82.28; Zn 0-0.25; Sn 17-23; прочих 0.1,,"ГОСТ 14113-78, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1107
АО3-1,,Fe,,,,,,,0.3-0.5,,1.7-2.1,,,0.8-1.2,,,Al 92.2-95.2; Sn 2-4,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1559
АО3-7,,Fe,,,,,,,,0.5-0.8,0.6-1.2,,,7-8.5,,,Fe 0-0.5; Al 84.95-89.4; Mg 0-0.35; Zn 0-0.2; Sn 2.5-3.5,,"ГОСТ 14113-78, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1104
АО6-1,,Fe,,,,,,,0.7-1.3,,0-0.3,,,0.7-1.3,,,Fe 0-0.3; Al 89.5-93.6; Sn 5-7; прочих 0.3,,"ГОСТ 14113-78, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1105
АО9-1,,Fe,,,,,,,,,0-0.7,,,0.8-1.2,,,Fe 0-0.5; Ti 0.02-0.2; Al 87.05-91.18; Zn 0-0.25; Sn 8-10; прочих 0.1,,"ГОСТ 14113-78, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1106
АО9-2,,Fe,,,,,,,0.8-1.2,,0.3-0.7,,,2-2.5,,,Fe 0-0.5; Al 85.5-88.9; Sn 8-10; прочих 0.1,,"ГОСТ 14113-78, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1103
АО9-2Б,,Fe,,,,,,,,,,,,1.5-2,,,Ti 0.02-0.1; Al 87.9-89.98; Sn 8.5-10,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1560
АСМ,,Fe,,,,,,,,0-0.2,0-0.5,,,0-0.1,,,Fe 0-0.75; Al 91.05-96.2; Mg 0.3-0.7; Zn 0-0.1; Sb 3.5-6.5; прочих 0.1,,"ГОСТ 14113-78, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1109
AlB3,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; B 2.2-3.5; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2720
AlB4,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; B 3.5-4.5; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2721
AlB5,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; B 4.5-5.5; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2722
AlBe5,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; BE 4.5-6; Mg 0-0.05; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2723
AlBi3,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; BE 0-0.0001; BI 2.7-3.3; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2724
AlCa10,,Fe,,,,,,,,,0-0.3,,,,,,Fe 0-0.3; Ca 9-11; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2726
AlCa6,,Fe,,,,,,,,0-0.05,0-0.3,,,,,,Fe 0-0.3; Ca 5-7; BE 0-0.0001; Mg 0-0.05; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2725
AlCo10,,Fe,,,,,,9-11,,,0-0.2,,,,,,Fe 0-0.3; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2727
AlCr10,,Fe,,9-11,,,,,,0-0.05,0-0.2,,,0-0.05,,,Fe 0-0.3; Ti 0-0.03; BE 0-0.0001; Mg 0-0.05; Zn 0-0.05; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2730
AlCr20(A),,Fe,,18-22,,,,,,,0-0.3,,,,,,Fe 0-0.3; BE 0-0.0001; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2731
AlCr20(B),,Fe,,18-22,,,,,0-0.2,0-0.4,0-0.5,,,0-0.2,,,Fe 0-0.7; Ti 0-0.1; BE 0-0.0001; Mg 0-0.5; Zn 0-0.2; Sn 0-0.02; прочие. каждая 0.04; всего 0.1; 0-0.0095,,"ГОСТ 53777-2010, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2732
