grade,link,zknives_maker,cc,zknives_country,db_standard,db_country,db_type,issues
V304XLUF,https://zknives.com/knives/steels/v304xluf.shtml,,US,США,,,,missing_standard
X5CrNiMo1810,https://zknives.com/knives/steels/x5crnimo1810.shtml,,US,США,"DIN X5CRNIMO1810, Германия",Германия,government,country_mismatch
X5CrNiMo17122,https://zknives.com/knives/steels/x5crnimo17122.shtml,,US,США,"DIN X5CRNIMO17122, Германия",Германия,government,country_mismatch
1.4401,https://zknives.com/knives/steels/1.4401.shtml,,US,США,"DIN 1.4401, Германия",Германия,government,country_mismatch
1.4436,https://zknives.com/knives/steels/1.4436.shtml,,US,США,"DIN 1.4436, Германия",Германия,government,country_mismatch
X5CrnNiMo17122,https://zknives.com/knives/steels/x5crnnimo17122.shtml,,US,США,"DIN X5CRNNIMO17122, Германия",Германия,government,country_mismatch
SUS316,https://zknives.com/knives/steels/sus316.shtml,,US,США,"JIS SUS316, Япония",Япония,government,country_mismatch
2347,https://zknives.com/knives/steels/2347.shtml,,US,США,,,,missing_standard
Z6CND17-11,https://zknives.com/knives/steels/z6cnd17-11.shtml,,US,США,,,,missing_standard
58J,https://zknives.com/knives/steels/58j.shtml,,US,США,,,,missing_standard
X5CrNiMo171,https://zknives.com/knives/steels/x5crnimo171.shtml,,US,США,"DIN X5CRNIMO171, Германия",Германия,government,country_mismatch
0Cr17Ni12Mo2,https://zknives.com/knives/steels/0cr17ni12mo2.shtml,,US,США,"GB/T 14976, Китай",Китай,government,country_mismatch
06Cr17Ni12Mo2,https://zknives.com/knives/steels/06cr17ni12mo2.shtml,,US,США,"GOST 5632-72, Россия",Россия,government,country_mismatch
17247,https://zknives.com/knives/steels/17247.shtml,,US,США,,,,missing_standard
C.4573,https://zknives.com/knives/steels/c.4573.shtml,,US,США,,,,missing_standard
F.3543,https://zknives.com/knives/steels/f.3543.shtml,,US,США,,,,missing_standard
F.3534,https://zknives.com/knives/steels/f.3534.shtml,,US,США,,,,missing_standard
08KH17N13M2,https://zknives.com/knives/steels/08kh17n13m2.shtml,,US,США,,,,missing_standard
08X17N13M2,https://zknives.com/knives/steels/08x17n13m2.shtml,,US,США,,,,missing_standard
08Ch17N13M2,https://zknives.com/knives/steels/08ch17n13m2.shtml,,US,США,,,,missing_standard
0H17N12MT,https://zknives.com/knives/steels/0h17n12mt.shtml,,US,США,,,,missing_standard
X04Cr17Ni12Mo2,https://zknives.com/knives/steels/x04cr17ni12mo2.shtml,,US,США,"DIN 1.4401, Германия",Германия,government,country_mismatch
