grade,link,zknives_maker,cc,zknives_country,db_standard,db_country,db_type,issues
CP10V,https://zknives.com/knives/steels/cp10v.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
ES50S,https://zknives.com/knives/steels/es50s.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
YTL120,https://zknives.com/knives/steels/ytl120.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
DTC,https://zknives.com/knives/steels/dtc.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Triple Die,https://zknives.com/knives/steels/triple_die.shtml,Bohler-Uddeholm,US,США,"Triple Die, США",США,proprietary,maker_mismatch
GPMD3,https://zknives.com/knives/steels/gpmd3.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Hecla125,https://zknives.com/knives/steels/hecla125.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
CRD,https://zknives.com/knives/steels/crd.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
H&R K,https://zknives.com/knives/steels/h~r_k.shtml,Bohler-Uddeholm,US,США,"H&R K, США",США,proprietary,maker_mismatch
BCD,https://zknives.com/knives/steels/bcd.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Vital,https://zknives.com/knives/steels/vital.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
ICW,https://zknives.com/knives/steels/icw.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
AlloyC,https://zknives.com/knives/steels/alloyc.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
WPS,https://zknives.com/knives/steels/wps.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
CNS2,https://zknives.com/knives/steels/cns2.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
NRW,https://zknives.com/knives/steels/nrw.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
RFB,https://zknives.com/knives/steels/rfb.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Dominial CH,https://zknives.com/knives/steels/dominial_ch.shtml,Bohler-Uddeholm,US,США,"Dominial CH, Франция",Франция,proprietary,country_mismatch;maker_mismatch
CH,https://zknives.com/knives/steels/ch.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
LSS D3,https://zknives.com/knives/steels/lss_d3.shtml,Bohler-Uddeholm,US,США,"LSS D3, Япония",Япония,proprietary,country_mismatch;maker_mismatch
GSN,https://zknives.com/knives/steels/gsn.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
LO-K 2080,https://zknives.com/knives/steels/lo-k_2080.shtml,Bohler-Uddeholm,US,США,"LO-K, Япония",Япония,proprietary,country_mismatch;maker_mismatch
HCHC,https://zknives.com/knives/steels/hchc.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
OCR12,https://zknives.com/knives/steels/ocr12.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
TMCN1,https://zknives.com/knives/steels/tmcn1.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Dimonant Hicrom,https://zknives.com/knives/steels/dimonant_hicrom.shtml,Bohler-Uddeholm,US,США,"Dimonant Hicrom, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
R32,https://zknives.com/knives/steels/r32.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
CDS1,https://zknives.com/knives/steels/cds1.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
KD1,https://zknives.com/knives/steels/kd1.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
ESC,https://zknives.com/knives/steels/esc.shtml,Bohler-Uddeholm,US,США,"Ossenberg, Германия",Германия,proprietary,country_mismatch;maker_mismatch
FMP338,https://zknives.com/knives/steels/fmp338.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
2002,https://zknives.com/knives/steels/2002.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
IR,https://zknives.com/knives/steels/ir.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
KE970,https://zknives.com/knives/steels/ke970.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
QC1,https://zknives.com/knives/steels/qc1.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Noresco Dominator,https://zknives.com/knives/steels/noresco_dominator.shtml,Bohler-Uddeholm,US,США,"Noresco Dominator, США",США,proprietary,maker_mismatch
OCR,https://zknives.com/knives/steels/ocr.shtml,Bohler-Uddeholm,US,США,"Metal Ravne, Словения",Словения,proprietary,country_mismatch;maker_mismatch
SIHard 2080,https://zknives.com/knives/steels/sihard_2080.shtml,Bohler-Uddeholm,US,США,SIHard,,proprietary,maker_mismatch
12225,https://zknives.com/knives/steels/12225.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
GS-2080,https://zknives.com/knives/steels/gs-2080.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Super Chromium,https://zknives.com/knives/steels/super_chromium.shtml,Bohler-Uddeholm,US,США,"Super Chromium, США",США,proprietary,maker_mismatch
CS13M,https://zknives.com/knives/steels/cs13m.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Stora62G,https://zknives.com/knives/steels/stora62g.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Thyrodur2080,https://zknives.com/knives/steels/thyrodur2080.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Thyrodur2136,https://zknives.com/knives/steels/thyrodur2136.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
T200W,https://zknives.com/knives/steels/t200w.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Ultradie1,https://zknives.com/knives/steels/ultradie1.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
WNS40,https://zknives.com/knives/steels/wns40.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
WCR20,https://zknives.com/knives/steels/wcr20.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
C120,https://zknives.com/knives/steels/c120.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Neor,https://zknives.com/knives/steels/neor.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
D4,https://zknives.com/knives/steels/d4.shtml,,US,США,,,,missing_standard
Z200CD12,https://zknives.com/knives/steels/z200cd12.shtml,,US,США,,,,missing_standard
BD4,https://zknives.com/knives/steels/bd4.shtml,,US,США,,,,missing_standard
19574,https://zknives.com/knives/steels/19574.shtml,,US,США,,,,missing_standard
X210CrW12,https://zknives.com/knives/steels/x210crw12.shtml,Villares Metals,US,США,"DIN X210CRW12, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
Grade124,https://zknives.com/knives/steels/grade124.shtml,,US,США,,,,missing_standard
Atomodie4,https://zknives.com/knives/steels/atomodie4.shtml,,US,США,,,,missing_standard
CNS3,https://zknives.com/knives/steels/cns3.shtml,,US,США,,,,missing_standard
GSN+Mo,https://zknives.com/knives/steels/gsn$mo.shtml,,US,США,,,,missing_standard
2002 Extra,https://zknives.com/knives/steels/2002_extra.shtml,,US,США,"2002 Extra, США",США,proprietary,expected_government_got_proprietary
Ultradie1M,https://zknives.com/knives/steels/ultradie1m.shtml,,US,США,,,,missing_standard
D5,https://zknives.com/knives/steels/d5.shtml,,US,США,,,,missing_standard
X165CrCoMo12,https://zknives.com/knives/steels/x165crcomo12.shtml,,US,США,"DIN X165CRCOMO12, Германия",Германия,government,country_mismatch
1.2880,https://zknives.com/knives/steels/1.2880.shtml,,US,США,"DIN 1.2880, Германия",Германия,government,country_mismatch
Z160CKDV12.03,https://zknives.com/knives/steels/z160ckdv12.03.shtml,,US,США,,,,missing_standard
BD5,https://zknives.com/knives/steels/bd5.shtml,,US,США,,,,missing_standard
FCC-66,https://zknives.com/knives/steels/fcc-66.shtml,,US,США,,,,missing_standard
PRK33,https://zknives.com/knives/steels/prk33.shtml,,US,США,,,,missing_standard
3-C Special,https://zknives.com/knives/steels/3-c_special.shtml,,US,США,3-C Special,,proprietary,expected_government_got_proprietary
Atomodie5,https://zknives.com/knives/steels/atomodie5.shtml,,US,США,,,,missing_standard
Aero12-3,https://zknives.com/knives/steels/aero12-3.shtml,,US,США,,,,missing_standard
CPPCX,https://zknives.com/knives/steels/cppcx.shtml,,US,США,,,,missing_standard
H&R No.61,https://zknives.com/knives/steels/h~r_no.61.shtml,,US,США,"H&R No.61, США",США,proprietary,expected_government_got_proprietary
CH17Co,https://zknives.com/knives/steels/ch17co.shtml,,US,США,,,,missing_standard
Riptide,https://zknives.com/knives/steels/riptide.shtml,,US,США,,,,missing_standard
Cobalt Chrome,https://zknives.com/knives/steels/cobalt_chrome.shtml,,US,США,Cobalt Chrome,,proprietary,expected_government_got_proprietary
ESSSpez,https://zknives.com/knives/steels/essspez.shtml,,US,США,,,,missing_standard
NM230WCoS,https://zknives.com/knives/steels/nm230wcos.shtml,,US,США,,,,missing_standard
GX165CrCoMo12,https://zknives.com/knives/steels/gx165crcomo12.shtml,,US,США,,,,missing_standard
2880,https://zknives.com/knives/steels/2880.shtml,,US,США,,,,missing_standard
EK81,https://zknives.com/knives/steels/ek81.shtml,,US,США,,,,missing_standard
Ohio Die Cobalt,https://zknives.com/knives/steels/ohio_die_cobalt.shtml,,US,США,"Ohio Die Cobalt, США",США,proprietary,expected_government_got_proprietary
BC115,https://zknives.com/knives/steels/bc115.shtml,,US,США,,,,missing_standard
D6,https://zknives.com/knives/steels/d6.shtml,Villares Metals,US,США,,,,missing_standard
1.2436,https://zknives.com/knives/steels/1.2436.shtml,Villares Metals,US,США,"DIN 1.2436, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
1.2346,https://zknives.com/knives/steels/1.2346.shtml,Villares Metals,US,США,"DIN 1.2346, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
SKD2,https://zknives.com/knives/steels/skd2.shtml,Villares Metals,US,США,,,,missing_standard
2312,https://zknives.com/knives/steels/2312.shtml,Villares Metals,US,США,"GOST 2312, Россия",Россия,government,country_mismatch;expected_proprietary_got_government
Z210CrW1201,https://zknives.com/knives/steels/z210crw1201.shtml,Villares Metals,US,США,,,,missing_standard
Z210CW12,https://zknives.com/knives/steels/z210cw12.shtml,Villares Metals,US,США,,,,missing_standard
BD6,https://zknives.com/knives/steels/bd6.shtml,Villares Metals,US,США,,,,missing_standard
X215CrW121KU,https://zknives.com/knives/steels/x215crw121ku.shtml,Villares Metals,US,США,,,,missing_standard
Cr12W,https://zknives.com/knives/steels/cr12w.shtml,Villares Metals,US,США,,,,missing_standard
C.4650,https://zknives.com/knives/steels/c.4650.shtml,Villares Metals,US,США,,,,missing_standard
X12VMF,https://zknives.com/knives/steels/x12vmf.shtml,Villares Metals,US,США,"Х12ВМФ, Россия",Россия,proprietary,country_mismatch;maker_mismatch
X12VM,https://zknives.com/knives/steels/x12vm.shtml,Villares Metals,US,США,"Х12ВМ, Россия",Россия,proprietary,country_mismatch;maker_mismatch
KH12VM,https://zknives.com/knives/steels/kh12vm.shtml,Villares Metals,US,США,"КН12ВМ, Россия",Россия,proprietary,country_mismatch;maker_mismatch
H12VM,https://zknives.com/knives/steels/h12vm.shtml,Villares Metals,US,США,"Н12ВМ, Россия",Россия,proprietary,country_mismatch;maker_mismatch
KH121VMF,https://zknives.com/knives/steels/kh121vmf.shtml,Villares Metals,US,США,,,,missing_standard
T30406,https://zknives.com/knives/steels/t30406.shtml,Villares Metals,US,США,"UNS T30406, США",США,government,expected_proprietary_got_government
BE2436,https://zknives.com/knives/steels/be2436.shtml,Villares Metals,US,США,,,,missing_standard
K107,https://zknives.com/knives/steels/k107.shtml,Villares Metals,US,США,"Bohler, Австрия",Австрия,proprietary,country_mismatch;maker_mismatch
B36,https://zknives.com/knives/steels/b36.shtml,Villares Metals,US,США,,,,missing_standard
HYCC,https://zknives.com/knives/steels/hycc.shtml,Villares Metals,US,США,,,,missing_standard
CrW46,https://zknives.com/knives/steels/crw46.shtml,Villares Metals,US,США,,,,missing_standard
CPW,https://zknives.com/knives/steels/cpw.shtml,Villares Metals,US,США,,,,missing_standard
ES50SW,https://zknives.com/knives/steels/es50sw.shtml,Villares Metals,US,США,,,,missing_standard
GGD-D6,https://zknives.com/knives/steels/ggd-d6.shtml,Villares Metals,US,США,,,,missing_standard
CWL,https://zknives.com/knives/steels/cwl.shtml,Villares Metals,US,США,,,,missing_standard
IntensivWo,https://zknives.com/knives/steels/intensivwo.shtml,Villares Metals,US,США,,,,missing_standard
BCW,https://zknives.com/knives/steels/bcw.shtml,Villares Metals,US,США,,,,missing_standard
CHW,https://zknives.com/knives/steels/chw.shtml,Villares Metals,US,США,,,,missing_standard
LO-K 2436,https://zknives.com/knives/steels/lo-k_2436.shtml,Villares Metals,US,США,,,,missing_standard
LC-Spezial,https://zknives.com/knives/steels/lc-spezial.shtml,Villares Metals,US,США,,,,missing_standard
Nitroy 40B,https://zknives.com/knives/steels/nitroy_40b.shtml,Villares Metals,US,США,"Nitroy 40B, США",США,proprietary,maker_mismatch
OCR12SP,https://zknives.com/knives/steels/ocr12sp.shtml,Villares Metals,US,США,,,,missing_standard
ESS,https://zknives.com/knives/steels/ess.shtml,Villares Metals,US,США,,,,missing_standard
NM240V,https://zknives.com/knives/steels/nm240v.shtml,Villares Metals,US,США,,,,missing_standard
M,https://zknives.com/knives/steels/m.shtml,Villares Metals,US,США,,,,missing_standard
Noresco Dominator Z,https://zknives.com/knives/steels/noresco_dominator_z.shtml,Villares Metals,US,США,"Noresco Dominator Z, США",США,proprietary,maker_mismatch
Extra RCC,https://zknives.com/knives/steels/extra_rcc.shtml,Villares Metals,US,США,Extra RCC,,proprietary,maker_mismatch
SIHard 2436,https://zknives.com/knives/steels/sihard_2436.shtml,Villares Metals,US,США,"SIHard, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
Stora62,https://zknives.com/knives/steels/stora62.shtml,Villares Metals,US,США,,,,missing_standard
Crocar,https://zknives.com/knives/steels/crocar.shtml,Villares Metals,US,США,,,,missing_standard
TES2436,https://zknives.com/knives/steels/tes2436.shtml,Villares Metals,US,США,,,,missing_standard
Thyrodur2436,https://zknives.com/knives/steels/thyrodur2436.shtml,Villares Metals,US,США,,,,missing_standard
VC-131,https://zknives.com/knives/steels/vc-131.shtml,Villares Metals,US,США,"Villares Metals, Бразилия",Бразилия,proprietary,country_mismatch
WCR36,https://zknives.com/knives/steels/wcr36.shtml,Villares Metals,US,США,,,,missing_standard
WC120,https://zknives.com/knives/steels/wc120.shtml,Villares Metals,US,США,,,,missing_standard
D7,https://zknives.com/knives/steels/d7.shtml,Scana,US,США,,,,missing_standard
X220CrVMo13-4,https://zknives.com/knives/steels/x220crvmo13-4.shtml,Scana,US,США,,,,missing_standard
1.2380,https://zknives.com/knives/steels/1.2380.shtml,Scana,US,США,"DIN 1.2380, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
Z230CVA12.04,https://zknives.com/knives/steels/z230cva12.04.shtml,Scana,US,США,,,,missing_standard
BD7,https://zknives.com/knives/steels/bd7.shtml,Scana,US,США,,,,missing_standard
KH12MF4,https://zknives.com/knives/steels/kh12mf4.shtml,Scana,US,США,,,,missing_standard
T30407,https://zknives.com/knives/steels/t30407.shtml,Scana,US,США,"UNS T30407, США",США,government,expected_proprietary_got_government
CV134,https://zknives.com/knives/steels/cv134.shtml,Scana,US,США,,,,missing_standard
HuronV,https://zknives.com/knives/steels/huronv.shtml,Scana,US,США,,,,missing_standard
HYCV,https://zknives.com/knives/steels/hycv.shtml,Scana,US,США,,,,missing_standard
HICRO 230,https://zknives.com/knives/steels/hicro_230.shtml,Scana,US,США,"HICRO 230, США",США,proprietary,maker_mismatch
GPMD7,https://zknives.com/knives/steels/gpmd7.shtml,Scana,US,США,,,,missing_standard
H&R K-3,https://zknives.com/knives/steels/h~r_k-3.shtml,Scana,US,США,"H&R K-3, США",США,proprietary,maker_mismatch
Truwear,https://zknives.com/knives/steels/truwear.shtml,Scana,US,США,,,,missing_standard
LSS D7,https://zknives.com/knives/steels/lss_d7.shtml,Scana,US,США,"LSS, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
BR-4,https://zknives.com/knives/steels/br-4.shtml,Scana,US,США,,,,missing_standard
BR-4 FM,https://zknives.com/knives/steels/br-4_fm.shtml,Scana,US,США,"BR-4 FM, США",США,proprietary,maker_mismatch
Stellapur PM7,https://zknives.com/knives/steels/stellapur_pm7.shtml,Scana,US,США,"Scana, Норвегия",Норвегия,proprietary,country_mismatch
ARS,https://zknives.com/knives/steels/ars.shtml,Scana,US,США,,,,missing_standard
TSP2380,https://zknives.com/knives/steels/tsp2380.shtml,Scana,US,США,,,,missing_standard
1.2378,https://zknives.com/knives/steels/1.2378.shtml,Metal Ravne,DE,Германия,"DIN 1.2378, Германия",Германия,government,expected_proprietary_got_government
X220CrVMo12-2,https://zknives.com/knives/steels/x220crvmo12-2.shtml,Metal Ravne,DE,Германия,,,,missing_standard
SY5 Ultrad,https://zknives.com/knives/steels/sy5_ultrad.shtml,Metal Ravne,DE,Германия,SY5 Ultrad,,proprietary,maker_mismatch
CPV2,https://zknives.com/knives/steels/cpv2.shtml,Metal Ravne,DE,Германия,,,,missing_standard
IntensivSupraV,https://zknives.com/knives/steels/intensivsuprav.shtml,Metal Ravne,DE,Германия,,,,missing_standard
CHV2,https://zknives.com/knives/steels/chv2.shtml,Metal Ravne,DE,Германия,,,,missing_standard
OCR12V2,https://zknives.com/knives/steels/ocr12v2.shtml,Metal Ravne,DE,Германия,"Metal Ravne, Словения",Словения,proprietary,country_mismatch
ESV2,https://zknives.com/knives/steels/esv2.shtml,Metal Ravne,DE,Германия,,,,missing_standard
SIHard 2378,https://zknives.com/knives/steels/sihard_2378.shtml,Metal Ravne,DE,Германия,SIHard,,proprietary,maker_mismatch
VC120S,https://zknives.com/knives/steels/vc120s.shtml,Metal Ravne,DE,Германия,,,,missing_standard
Pyrovan HC,https://zknives.com/knives/steels/pyrovan_hc.shtml,Latrobe,US,США,"Pyrovan HC, США",США,proprietary,maker_mismatch
Z100CD14.4,https://zknives.com/knives/steels/z100cd14.4.shtml,Carpenter,US,США,,,,missing_standard
T113,https://zknives.com/knives/steels/t113.shtml,Carpenter,US,США,,,,missing_standard
CTS-BD4,https://zknives.com/knives/steels/cts-bd4.shtml,Carpenter,US,США,,,,missing_standard
154CM,https://zknives.com/knives/steels/154cm.shtml,Carpenter,US,США,"Crucible, США",США,proprietary,maker_mismatch
CPM154,https://zknives.com/knives/steels/cpm154.shtml,Carpenter,US,США,"Crucible, США",США,proprietary,maker_mismatch
RWL-34,https://zknives.com/knives/steels/rwl-34.shtml,Carpenter,US,США,"Damasteel, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
ATS-34,https://zknives.com/knives/steels/ats-34.shtml,Carpenter,US,США,"Hitachi, Япония",Япония,proprietary,country_mismatch;maker_mismatch
ATS34,https://zknives.com/knives/steels/ats34.shtml,Carpenter,US,США,,,,missing_standard
14-4CrMo,https://zknives.com/knives/steels/14-4crmo.shtml,Carpenter,US,США,"Latrobe, США",США,proprietary,maker_mismatch
8KHF,https://zknives.com/knives/steels/8khf.shtml,,RU,Россия,"8КНФ, Россия",Россия,proprietary,expected_government_got_proprietary
8XF,https://zknives.com/knives/steels/8xf.shtml,,RU,Россия,,,,missing_standard
NCV1,https://zknives.com/knives/steels/ncv1.shtml,,RU,Россия,,,,missing_standard
Carbon V,https://zknives.com/knives/steels/carbon_v.shtml,Camillus,US,США,"Carbon V, США",США,proprietary,maker_mismatch
CTS-B75P,https://zknives.com/knives/steels/cts-b75p.shtml,Carpenter,US,США,,,,missing_standard
B75P,https://zknives.com/knives/steels/b75p.shtml,Carpenter,US,США,,,,missing_standard
BG42,https://zknives.com/knives/steels/bg42.shtml,Carpenter,US,США,"Latrobe, США",США,proprietary,maker_mismatch
BG-42,https://zknives.com/knives/steels/bg-42.shtml,Carpenter,US,США,,,,missing_standard
X96CrMoV12,https://zknives.com/knives/steels/x96crmov12.shtml,Metal Ravne,DE,Германия,"DIN X96CRMOV12, Германия",Германия,government,expected_proprietary_got_government
1.2376,https://zknives.com/knives/steels/1.2376.shtml,Metal Ravne,DE,Германия,"DIN 1.2376, Германия",Германия,government,expected_proprietary_got_government
C.4851,https://zknives.com/knives/steels/c.4851.shtml,Metal Ravne,DE,Германия,,,,missing_standard
CRV1,https://zknives.com/knives/steels/crv1.shtml,Metal Ravne,DE,Германия,"Metal Ravne, Словения",Словения,proprietary,country_mismatch
SIHard 2376,https://zknives.com/knives/steels/sihard_2376.shtml,Metal Ravne,DE,Германия,"SIHard, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
X50CrMoW911,https://zknives.com/knives/steels/x50crmow911.shtml,Metal Ravne,DE,Германия,"DIN X50CRMOW911, Германия",Германия,government,expected_proprietary_got_government
1.2631,https://zknives.com/knives/steels/1.2631.shtml,Metal Ravne,DE,Германия,"DIN 1.2631, Германия",Германия,government,expected_proprietary_got_government
19559PH,https://zknives.com/knives/steels/19559ph.shtml,Metal Ravne,DE,Германия,,,,missing_standard
C.4755,https://zknives.com/knives/steels/c.4755.shtml,Metal Ravne,DE,Германия,,,,missing_standard
Narva8A,https://zknives.com/knives/steels/narva8a.shtml,Metal Ravne,DE,Германия,,,,missing_standard
BE2631,https://zknives.com/knives/steels/be2631.shtml,Metal Ravne,DE,Германия,,,,missing_standard
K300,https://zknives.com/knives/steels/k300.shtml,Metal Ravne,DE,Германия,"Bohler, Австрия",Австрия,proprietary,country_mismatch;maker_mismatch
WR Special,https://zknives.com/knives/steels/wr_special.shtml,Metal Ravne,DE,Германия,WR Special,,proprietary,maker_mismatch
CRV2,https://zknives.com/knives/steels/crv2.shtml,Metal Ravne,DE,Германия,"Metal Ravne, Словения",Словения,proprietary,country_mismatch
NLKH,https://zknives.com/knives/steels/nlkh.shtml,Metal Ravne,DE,Германия,,,,missing_standard
SIHard 2631,https://zknives.com/knives/steels/sihard_2631.shtml,Metal Ravne,DE,Германия,"SIHard, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
65KH13,https://zknives.com/knives/steels/65kh13.shtml,Bohler-Uddeholm,RU,Россия,"65КН13, Россия",Россия,proprietary,maker_mismatch
65X13,https://zknives.com/knives/steels/65x13.shtml,Bohler-Uddeholm,RU,Россия,"AISI 65X13, США",США,government,country_mismatch;expected_proprietary_got_government
Marss-500,https://zknives.com/knives/steels/marss-500.shtml,Bohler-Uddeholm,RU,Россия,"Bohler-Uddeholm, Швеция",Швеция,proprietary,country_mismatch
PMC 27,https://zknives.com/knives/steels/pmc_27.shtml,Bohler-Uddeholm,RU,Россия,"Damasteel, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
PMC27,https://zknives.com/knives/steels/pmc27.shtml,Bohler-Uddeholm,RU,Россия,,,,missing_standard
PMC-27,https://zknives.com/knives/steels/pmc-27.shtml,Bohler-Uddeholm,RU,Россия,,,,missing_standard
12C27,https://zknives.com/knives/steels/12c27.shtml,Bohler-Uddeholm,RU,Россия,"Sandvik, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
12C27M,https://zknives.com/knives/steels/12c27m.shtml,Bohler-Uddeholm,RU,Россия,"Sandvik, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
12C27Mod,https://zknives.com/knives/steels/12c27mod.shtml,Bohler-Uddeholm,RU,Россия,,,,missing_standard
BD30P,https://zknives.com/knives/steels/bd30p.shtml,Carpenter,US,США,,,,missing_standard
CPM S30V,https://zknives.com/knives/steels/cpm_s30v.shtml,Carpenter,US,США,"Crucible, США",США,proprietary,maker_mismatch
S30V,https://zknives.com/knives/steels/s30v.shtml,Carpenter,US,США,"CPM, США",США,proprietary,maker_mismatch
PM14-2-4CrMoV,https://zknives.com/knives/steels/pm14-2-4crmov.shtml,Carpenter,US,США,,,,missing_standard
S35VN,https://zknives.com/knives/steels/s35vn.shtml,Crucible,US,США,,,,missing_standard
35VN,https://zknives.com/knives/steels/35vn.shtml,Crucible,US,США,,,,missing_standard
PM14-2-3CrMoVN,https://zknives.com/knives/steels/pm14-2-3crmovn.shtml,Crucible,US,США,,,,missing_standard
1050,https://zknives.com/knives/steels/1050.shtml,,US,США,"GOST 1050, Россия",Россия,government,country_mismatch
CK50,https://zknives.com/knives/steels/ck50.shtml,,US,США,,,,missing_standard
C50,https://zknives.com/knives/steels/c50.shtml,,US,США,,,,missing_standard
Cf53,https://zknives.com/knives/steels/cf53.shtml,,US,США,,,,missing_standard
1.1206,https://zknives.com/knives/steels/1.1206.shtml,,US,США,"DIN 1.1206, Германия",Германия,government,country_mismatch
1.0540,https://zknives.com/knives/steels/1.0540.shtml,,US,США,"DIN 1.0540, Германия",Германия,government,country_mismatch
1.1241,https://zknives.com/knives/steels/1.1241.shtml,,US,США,"DIN 1.1241, Германия",Германия,government,country_mismatch
1.0586,https://zknives.com/knives/steels/1.0586.shtml,,US,США,"DIN 1.0586, Германия",Германия,government,country_mismatch
1.1171,https://zknives.com/knives/steels/1.1171.shtml,,US,США,"DIN 1.1171, Германия",Германия,government,country_mismatch
C50E,https://zknives.com/knives/steels/c50e.shtml,,US,США,,,,missing_standard
C55R,https://zknives.com/knives/steels/c55r.shtml,,US,США,,,,missing_standard
C50D,https://zknives.com/knives/steels/c50d.shtml,,US,США,,,,missing_standard
S50C,https://zknives.com/knives/steels/s50c.shtml,,US,США,,,,missing_standard
1674,https://zknives.com/knives/steels/1674.shtml,,US,США,,,,missing_standard
XC48H1,https://zknives.com/knives/steels/xc48h1.shtml,,US,США,,,,missing_standard
#50,https://zknives.com/knives/steels/!50.shtml,,US,США,,,,missing_standard
50Mn,https://zknives.com/knives/steels/50mn.shtml,,US,США,"GB/T 50Mn, Китай",Китай,government,country_mismatch
C.1630.2,https://zknives.com/knives/steels/c.1630.2.shtml,,US,США,,,,missing_standard
C.1630.3,https://zknives.com/knives/steels/c.1630.3.shtml,,US,США,,,,missing_standard
50,https://zknives.com/knives/steels/50.shtml,,US,США,"GOST 50, Россия",Россия,government,country_mismatch
OLC50,https://zknives.com/knives/steels/olc50.shtml,,US,США,,,,missing_standard
OLC50X,https://zknives.com/knives/steels/olc50x.shtml,,US,США,,,,missing_standard
SM53C,https://zknives.com/knives/steels/sm53c.shtml,,US,США,,,,missing_standard
SM50C,https://zknives.com/knives/steels/sm50c.shtml,,US,США,,,,missing_standard
760,https://zknives.com/knives/steels/760.shtml,Saarstahl,US,США,"ZK, США",США,proprietary,maker_mismatch
CF53,https://zknives.com/knives/steels/cf53.shtml,,US,США,,,,missing_standard
1055,https://zknives.com/knives/steels/1055.shtml,,US,США,,,,missing_standard
Ck55,https://zknives.com/knives/steels/ck55.shtml,,US,США,,,,missing_standard
C55,https://zknives.com/knives/steels/c55.shtml,,US,США,,,,missing_standard
CM55,https://zknives.com/knives/steels/cm55.shtml,,US,США,,,,missing_standard
1.1209,https://zknives.com/knives/steels/1.1209.shtml,,US,США,"DIN 1.1209, Германия",Германия,government,country_mismatch
1.1203,https://zknives.com/knives/steels/1.1203.shtml,,US,США,"DIN 1.1203, Германия",Германия,government,country_mismatch
1.0535,https://zknives.com/knives/steels/1.0535.shtml,,US,США,"DIN 1.0535, Германия",Германия,government,country_mismatch
C55E,https://zknives.com/knives/steels/c55e.shtml,,US,США,,,,missing_standard
S55C,https://zknives.com/knives/steels/s55c.shtml,,US,США,"JIS G 4051, Япония",Япония,government,country_mismatch
1655,https://zknives.com/knives/steels/1655.shtml,,US,США,,,,missing_standard
XC55H1,https://zknives.com/knives/steels/xc55h1.shtml,,US,США,,,,missing_standard
XC55H1U,https://zknives.com/knives/steels/xc55h1u.shtml,,US,США,,,,missing_standard
EN43,https://zknives.com/knives/steels/en43.shtml,,US,США,"EN 43, Европа",Европа,government,country_mismatch
EN9,https://zknives.com/knives/steels/en9.shtml,,US,США,"EN 9, Европа",Европа,government,country_mismatch
#55,https://zknives.com/knives/steels/!55.shtml,,US,США,,,,missing_standard
