grade,splav_c,db_c,match_c,splav_cr,db_cr,match_cr,splav_mo,db_mo,match_mo,splav_v,db_v,match_v,splav_w,db_w,match_w,splav_co,db_co,match_co,splav_ni,db_ni,match_ni,splav_mn,db_mn,match_mn,splav_si,db_si,match_si,splav_s,db_s,match_s,splav_p,db_p,match_p,splav_cu,db_cu,match_cu,splav_nb,db_nb,match_nb,splav_n,db_n,match_n,status,mismatch_fields
12ХН2А,0.09 - 0.16,0.09 - 0.16,1,0.6 - 0.9,0.6 - 0.9,1,,,1,,,1,,,1,,,1,1.5 - 1.9,1.5 - 1.9,1,0.3 - 0.6,0.3 - 0.6,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,,,1,,,1,,,1,ok,
12ХН2МДФ,0.09 - 0.13,0.09 - 0.13,1,1.05 - 1.3,1.05 - 1.3,1,0.1 - 0.18,0.1 - 0.18,1,,,1,0.01 - 0.05,0.01 - 0.05,1,,,1,1.85 - 2.15,1.85 - 2.15,1,0.45 - 0.75,0.45 - 0.75,1,0.2 - 0.4,0.2 - 0.4,1,до &nbsp; 0.03,до &nbsp; 0.03,1,до &nbsp; 0.03,до &nbsp; 0.03,1,0.35 - 0.65,0.35 - 0.65,1,,,1,,,1,ok,
12ХН3А,0.09 - 0.16,0.09 - 0.16,1,0.6 - 0.9,0.6 - 0.9,1,,,1,,,1,,,1,,,1,2.75 - 3.15,2.75 - 3.15,1,0.3 - 0.6,0.3 - 0.6,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,ok,
12ХНВФА,0.08 - 0.15,0.08 - 0.15,1,1.9 - 2.4,1.9 - 2.4,1,,,1,0.18 - 0.28,0.18 - 0.28,1,1 - 1.4,1 - 1.4,1,,,1,0.8 - 1.2,0.8 - 1.2,1,0.3 - 0.7,0.3 - 0.7,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.2,до &nbsp; 0.2,1,,,1,,,1,ok,
13Н2ХА,0.1 - 0.16,0.1 - 0.16,1,0.2 - 0.5,0.2 - 0.5,1,,,1,,,1,,,1,,,1,1.7 - 2.1,1.7 - 2.1,1,0.3 - 0.6,0.3 - 0.6,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.25,до &nbsp; 0.25,1,,,1,,,1,ok,
13Н5А,0.1 - 0.17,0.1 - 0.17,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,,,1,,,1,4.5 - 5,4.5 - 5,1,0.3 - 0.6,0.3 - 0.6,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.25,до &nbsp; 0.25,1,,,1,,,1,ok,
13ХФА,0.11 - 0.17,0.11 - 0.17,1,0.5 - 0.7,0.5 - 0.7,1,,,1,0.04 - 0.09,0.04 - 0.09,1,,,1,,,1,до &nbsp; 0.25,до &nbsp; 0.25,1,0.4 - 0.65,0.4 - 0.65,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.25,до &nbsp; 0.25,1,,,1,до &nbsp; 0.008,до &nbsp; 0.008,1,ok,
14Х2ГМР,0.1 - 0.16,0.1 - 0.16,1,1.3 - 1.7,1.3 - 1.7,1,0.4 - 0.5,0.4 - 0.5,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,до &nbsp; 0.3,до &nbsp; 0.3,1,0.17 - 0.37,0.17 - 0.37,1,0.9 - 1.2,0.9 - 1.2,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,ok,
14Х2Н3МА,0.12 - 0.17,0.12 - 0.17,1,1.5 - 1.75,1.5 - 1.75,1,0.2 - 0.3,0.2 - 0.3,1,,,1,,,1,,,1,2.75 - 3.15,2.75 - 3.15,1,0.3 - 0.6,0.3 - 0.6,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,,,1,,,1,,,1,ok,
14ХГН,0.13 - 0.18,0.13 - 0.18,1,0.8 - 1.1,0.8 - 1.1,1,,,1,,,1,,,1,,,1,0.8 - 1.1,0.8 - 1.1,1,0.7 - 1,0.7 - 1,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,ok,
15Г,0.12 - 0.19,0.12 - 0.19,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,,,1,,,1,до &nbsp; 0.3,до &nbsp; 0.3,1,0.7 - 1,0.7 - 1,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,ok,
15Н2М,0.1 - 0.18,0.1 - 0.18,1,до &nbsp; 0.3,до &nbsp; 0.3,1,0.2 - 0.3,0.2 - 0.3,1,,,1,,,1,,,1,1.5 - 1.9,1.5 - 1.9,1,0.4 - 0.7,0.4 - 0.7,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,ok,
15Х,0.12 - 0.18,0.12 - 0.18,1,0.7 - 1,0.7 - 1,1,,,1,,,1,,,1,,,1,до &nbsp; 0.3,до &nbsp; 0.3,1,0.4 - 0.7,0.4 - 0.7,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,ok,
15Х2ГН2ТА,0.13 - 0.18,0.13 - 0.18,1,1.4 - 1.8,1.4 - 1.8,1,,,1,,,1,,,1,,,1,1.4 - 1.8,1.4 - 1.8,1,0.7 - 1,0.7 - 1,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.25,до &nbsp; 0.25,1,,,1,,,1,ok,
15Х2ГН2ТРА,0.12 - 0.18,0.12 - 0.18,1,1.4 - 1.8,1.4 - 1.8,1,,,1,,,1,,,1,,,1,1.4 - 1.8,1.4 - 1.8,1,0.7 - 1,0.7 - 1,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.25,до &nbsp; 0.25,1,,,1,,,1,ok,
15ХА,0.12 - 0.17,0.12 - 0.17,1,0.7 - 1,0.7 - 1,1,,,1,,,1,,,1,,,1,до &nbsp; 0.3,до &nbsp; 0.3,1,0.4 - 0.7,0.4 - 0.7,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,ok,
15ХГН2ТА,0.13 - 0.18,0.13 - 0.18,1,0.7 - 1,0.7 - 1,1,,,1,,,1,,,1,,,1,1.4 - 1.8,1.4 - 1.8,1,0.7 - 1,0.7 - 1,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,ok,
15ХГНМ,0.13 - 0.18,0.13 - 0.18,1,0.4 - 0.7,0.4 - 0.7,1,0.15 - 0.25,0.15 - 0.25,1,,,1,,,1,,,1,0.4 - 0.7,0.4 - 0.7,1,0.7 - 1.1,0.7 - 1.1,1,0.17 - 0.37,0.17 - 0.37,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.035,до &nbsp; 0.035,1,до &nbsp; 0.3,до &nbsp; 0.3,1,,,1,,,1,ok,
