grade,splav_c,db_c,match_c,splav_cr,db_cr,match_cr,splav_mo,db_mo,match_mo,splav_v,db_v,match_v,splav_w,db_w,match_w,splav_co,db_co,match_co,splav_ni,db_ni,match_ni,splav_mn,db_mn,match_mn,splav_si,db_si,match_si,splav_s,db_s,match_s,splav_p,db_p,match_p,splav_cu,db_cu,match_cu,splav_nb,db_nb,match_nb,splav_n,db_n,match_n,status,mismatch_fields
Ц0,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,,,1,,,1,ok,
Ц0А,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,,,1,,,1,ok,
Ц1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.002,до &nbsp; 0.002,1,,,1,,,1,ok,
Ц1С,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,,,1,,,1,ok,
Ц2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,,,1,,,1,ok,
Ц2С,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,ok,
Ц3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,ok,
Ц3С,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,ok,
ЦВ,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,,,1,,,1,ok,
ЦВ0,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,,,1,,,1,ok,
ЦВ00,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.00001,до &nbsp; 0.00001,1,,,1,,,1,,,1,,,1,до &nbsp; 0.00001,до &nbsp; 0.00001,1,,,1,,,1,ok,
ZnA14A,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,до &nbsp; 0.06,до &nbsp; 0.06,1,,,1,,,1,ok,
ZnA14Cu1A,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,0.7 - 1.3,0.7 - 1.3,1,,,1,,,1,ok,
ZnA14Cu3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,2.5 - 3.5,2.5 - 3.5,1,,,1,,,1,ok,
ZnA14Cu3A,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,2.5 - 3.7,2.5 - 3.7,1,,,1,,,1,ok,
ЦА30М5,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.075,до &nbsp; 0.075,1,,,1,,,1,3.8 - 5.6,3.8 - 5.6,1,,,1,,,1,ok,
ЦА4,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,до &nbsp; 0.06,до &nbsp; 0.06,1,,,1,,,1,ok,
ЦА4М1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,0.7 - 1.3,0.7 - 1.3,1,,,1,,,1,ok,
ЦА4М1в,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,0.6 - 1.3,0.6 - 1.3,1,,,1,,,1,ok,
ЦА4М1о,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,0.7 - 1.3,0.7 - 1.3,1,,,1,,,1,ok,
ЦА4М3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,2.5 - 3.7,2.5 - 3.7,1,,,1,,,1,ok,
ЦА4М3о,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,2.5 - 3.7,2.5 - 3.7,1,,,1,,,1,ok,
ЦА4о,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,до &nbsp; 0.06,до &nbsp; 0.06,1,,,1,,,1,ok,
ЦА8М1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,0.7 - 1.4,0.7 - 1.4,1,,,1,,,1,ok,
ЦАМ4-1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,0.7 - 1.2,0.7 - 1.2,1,,,1,,,1,ok,
ЦАМ4-1в,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,0.6 - 1.2,0.6 - 1.2,1,,,1,,,1,ok,
ЦАМ4-1о,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,0.7 - 1.2,0.7 - 1.2,1,,,1,,,1,ok,
ЦАМ0.2-4,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,4 - 4,4 - 4,1,,,1,,,1,ok,
ЦАМ10-2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,2 - 2,2 - 2,1,,,1,,,1,ok,
ЦАМ15,Дж/(кг·град),Дж/(кг·град),1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,ok,
ЦАМ2-5,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,5 - 5,5 - 5,1,,,1,,,1,ok,
ЦМ1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,1 - 1,1 - 1,1,,,1,,,1,ok,
ЦМП,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,,,1,,,1,ok,
Цам10-5,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,4 - 5.5,4 - 5.5,1,,,1,,,1,ok,
ЦАМ10-5Л,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,4 - 5.5,4 - 5.5,1,,,1,,,1,ok,
ЦАМ9-1.5,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,1 - 2,1 - 2,1,,,1,,,1,ok,
ЦАМ9-1.5Л,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,1 - 2,1 - 2,1,,,1,,,1,ok,
Мг80,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.002,до &nbsp; 0.002,1,до &nbsp; 0.05,до &nbsp; 0.05,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,ok,
Мг90,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,до &nbsp; 0.03,до &nbsp; 0.03,1,до &nbsp; 0.009,до &nbsp; 0.009,1,,,1,,,1,до &nbsp; 0.004,до &nbsp; 0.004,1,,,1,,,1,ok,
Мг95,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.004,до &nbsp; 0.004,1,,,1,,,1,до &nbsp; 0.003,до &nbsp; 0.003,1,,,1,,,1,ok,
Мг96,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.002,до &nbsp; 0.002,1,до &nbsp; 0.004,до &nbsp; 0.004,1,до &nbsp; 0.004,до &nbsp; 0.004,1,,,1,,,1,до &nbsp; 0.002,до &nbsp; 0.002,1,,,1,,,1,ok,
Мг98,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.0005,до &nbsp; 0.0005,1,до &nbsp; 0.002,до &nbsp; 0.002,1,до &nbsp; 0.003,до &nbsp; 0.003,1,,,1,,,1,до &nbsp; 0.0005,до &nbsp; 0.0005,1,,,1,,,1,ok,
МА10Ц1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,0.2 - 0.5,0.2 - 0.5,1,до &nbsp; 0.15,до &nbsp; 0.15,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,ok,
МА8Ц,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.004,до &nbsp; 0.004,1,0.2 - 0.5,0.2 - 0.5,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,ok,
МА8ЦБч,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,0.2 - 0.5,0.2 - 0.5,1,до &nbsp; 0.04,до &nbsp; 0.04,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,ok,
МА8Цч,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,0.2 - 0.5,0.2 - 0.5,1,до &nbsp; 0.04,до &nbsp; 0.04,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,ok,
МА8Цэ,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,0.2 - 0.5,0.2 - 0.5,1,до &nbsp; 0.5,до &nbsp; 0.5,1,,,1,,,1,до &nbsp; 0.35,до &nbsp; 0.35,1,,,1,,,1,ok,
ММ2,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.004,до &nbsp; 0.004,1,1.5 - 2.2,1.5 - 2.2,1,до &nbsp; 0.07,до &nbsp; 0.07,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,ok,
ММ2ч,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,1.7 - 2.4,1.7 - 2.4,1,до &nbsp; 0.004,до &nbsp; 0.004,1,,,1,,,1,до &nbsp; 0.002,до &nbsp; 0.002,1,,,1,,,1,ok,
МЦр1Н3,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.004,до &nbsp; 0.004,1,,,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,ok,
МЛ10,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,ok,
МЛ11,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,ok,
МЛ12,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,ok,
МЛ15,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,ok,
МЛ19,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,ok,
МЛ2,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,1 - 2,1 - 2,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,ok,
МЛ3,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,0.15 - 0.5,0.15 - 0.5,1,до &nbsp; 0.25,до &nbsp; 0.25,1,,,1,,,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,ok,
МЛ4,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,0.15 - 0.5,0.15 - 0.5,1,до &nbsp; 0.25,до &nbsp; 0.25,1,,,1,,,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,ok,
МЛ4пч,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.002,до &nbsp; 0.002,1,0.15 - 0.5,0.15 - 0.5,1,до &nbsp; 0.08,до &nbsp; 0.08,1,,,1,,,1,до &nbsp; 0.04,до &nbsp; 0.04,1,,,1,,,1,ok,
МЛ5,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,0.15 - 0.5,0.15 - 0.5,1,до &nbsp; 0.25,до &nbsp; 0.25,1,,,1,,,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,ok,
МЛ5он,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,0.15 - 0.5,0.15 - 0.5,1,до &nbsp; 0.35,до &nbsp; 0.35,1,,,1,,,1,до &nbsp; 0.25,до &nbsp; 0.25,1,,,1,,,1,ok,
МЛ5пч,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,0.15 - 0.5,0.15 - 0.5,1,до &nbsp; 0.08,до &nbsp; 0.08,1,,,1,,,1,до &nbsp; 0.04,до &nbsp; 0.04,1,,,1,,,1,ok,
МЛ6,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,0.1 - 0.5,0.1 - 0.5,1,до &nbsp; 0.25,до &nbsp; 0.25,1,,,1,,,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,ok,
МЛ8,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,ok,
МЛ9,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,ok,
МА1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.007,до &nbsp; 0.007,1,1.3 - 2.5,1.3 - 2.5,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,ok,
МА11,,,1,,,1,,,1,,,1,,,1,,,1,0.1 - 0.22,0.1 - 0.22,1,1.5 - 2.5,1.5 - 2.5,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,ok,
МА12,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,до &nbsp; 0.1,до &nbsp; 0.1,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,ok,
МА14,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,до &nbsp; 0.1,до &nbsp; 0.1,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,ok,
МА15,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,до &nbsp; 0.1,до &nbsp; 0.1,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,ok,
МА17,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,0.2 - 0.7,0.2 - 0.7,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,ok,
МА18,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,0.1 - 0.4,0.1 - 0.4,1,до &nbsp; 0.15,до &nbsp; 0.15,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,ok,
МА19,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,до &nbsp; 0.1,до &nbsp; 0.1,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,ok,
МА2,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,0.15 - 0.5,0.15 - 0.5,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,ok,
Ма2-1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.004,до &nbsp; 0.004,1,0.3 - 0.7,0.3 - 0.7,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,ok,
МА2-1пч,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,0.2 - 0.6,0.2 - 0.6,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,ok,
МА20,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,до &nbsp; 0.04,до &nbsp; 0.04,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,ok,
МА21,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,до &nbsp; 0.1,до &nbsp; 0.1,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,до &nbsp; 0.04,до &nbsp; 0.04,1,,,1,,,1,ok,
МА5,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.005,до &nbsp; 0.005,1,0.15 - 0.5,0.15 - 0.5,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,ok,
МА8,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.007,до &nbsp; 0.007,1,1.3 - 2.2,1.3 - 2.2,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,ok,
МА8пч,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.002,до &nbsp; 0.002,1,1 - 1.5,1 - 1.5,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,ok,
МА2-2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,0.15 - 0.35,0.15 - 0.35,1,,,1,,,1,,,1,,,1,,,1,,,1,ok,
МЛ16,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,0.15 - 0.5,0.15 - 0.5,1,до &nbsp; 0.2,до &nbsp; 0.2,1,,,1,,,1,до &nbsp; 0.15,до &nbsp; 0.15,1,,,1,,,1,ok,
МЛ16вч,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,0.15 - 0.5,0.15 - 0.5,1,до &nbsp; 0.04,до &nbsp; 0.04,1,,,1,,,1,до &nbsp; 0.003,до &nbsp; 0.003,1,,,1,,,1,ok,
МЛ16пч,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,0.15 - 0.5,0.15 - 0.5,1,до &nbsp; 0.06,до &nbsp; 0.06,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,ok,
МЛ4вч,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.001,до &nbsp; 0.001,1,0.15 - 0.5,0.15 - 0.5,1,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,до &nbsp; 0.004,до &nbsp; 0.004,1,,,1,,,1,ok,
МЦИ,,,1,,,1,,,1,,,1,,,1,,,1,0.02 - 0.05,0.02 - 0.05,1,,,1,,,1,,,1,,,1,0.4 - 0.75,0.4 - 0.75,1,,,1,,,1,ok,
ТГ-100,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.04,до &nbsp; 0.04,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,,,1,,,1,до &nbsp; 0.02,до &nbsp; 0.02,1,ok,
ТГ-110,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.04,до &nbsp; 0.04,1,,,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,,,1,,,1,до &nbsp; 0.02,до &nbsp; 0.02,1,ok,
ТГ-120,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.04,до &nbsp; 0.04,1,,,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,,,1,,,1,до &nbsp; 0.02,до &nbsp; 0.02,1,ok,
ТГ-130,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.04,до &nbsp; 0.04,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,ok,
ТГ-150,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.04,до &nbsp; 0.04,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,ok,
ТГ-90,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.04,до &nbsp; 0.04,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,,,1,,,1,до &nbsp; 0.02,до &nbsp; 0.02,1,ok,
ТГ-Тв,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.1,до &nbsp; 0.1,1,ok,
ВТ1-0,до &nbsp; 0.07,до &nbsp; 0.07,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,,,1,,,1,до &nbsp; 0.04,до &nbsp; 0.04,1,ok,
ВТ1-00,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.08,до &nbsp; 0.08,1,,,1,,,1,,,1,,,1,до &nbsp; 0.04,до &nbsp; 0.04,1,ok,
ВТ1-00св,до &nbsp; 0.05,до &nbsp; 0.05,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.08,до &nbsp; 0.08,1,,,1,,,1,,,1,,,1,до &nbsp; 0.03,до &nbsp; 0.03,1,ok,
ВТ1-1,до &nbsp; 0.08,до &nbsp; 0.08,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.12,до &nbsp; 0.12,1,,,1,,,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,ok,
ВТ1-2,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,до &nbsp; 0.15,до &nbsp; 0.15,1,,,1,,,1,,,1,,,1,до &nbsp; 0.15,до &nbsp; 0.15,1,ok,
ВТ14Л,до &nbsp; 0.12,до &nbsp; 0.12,1,,,1,2.5 - 3.8,2.5 - 3.8,1,0.9 - 1.9,0.9 - 1.9,1,до &nbsp; 0.2,до &nbsp; 0.2,1,,,1,,,1,,,1,до &nbsp; 0.15,до &nbsp; 0.15,1,,,1,,,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,ok,
ВТ1Л,до &nbsp; 0.15,до &nbsp; 0.15,1,,,1,,,1,,,1,до &nbsp; 0.2,до &nbsp; 0.2,1,,,1,,,1,,,1,до &nbsp; 0.15,до &nbsp; 0.15,1,,,1,,,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,ok,
ВТ20Л,,,1,,,1,0.5 - 2,0.5 - 2,1,0.8 - 1.8,0.8 - 1.8,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,ok,
ВТ21Л,,,1,0.2 - 0.5,0.2 - 0.5,1,0.4 - 1,0.4 - 1,1,0.8 - 1.5,0.8 - 1.5,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,ok,
ВТ3-1Л,до &nbsp; 0.15,до &nbsp; 0.15,1,0.8 - 2.3,0.8 - 2.3,1,2 - 3,2 - 3,1,,,1,до &nbsp; 0.2,до &nbsp; 0.2,1,,,1,,,1,,,1,0.15 - 0.4,0.15 - 0.4,1,,,1,,,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,ok,
ВТ5Л,до &nbsp; 0.2,до &nbsp; 0.2,1,,,1,,,1,,,1,до &nbsp; 0.2,до &nbsp; 0.2,1,,,1,,,1,,,1,до &nbsp; 0.2,до &nbsp; 0.2,1,,,1,,,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,ok,
ВТ6Л,до &nbsp; 0.1,до &nbsp; 0.1,1,,,1,,,1,3.5 - 4.5,3.5 - 4.5,1,до &nbsp; 0.2,до &nbsp; 0.2,1,,,1,,,1,,,1,до &nbsp; 0.15,до &nbsp; 0.15,1,,,1,,,1,,,1,,,1,до &nbsp; 0.05,до &nbsp; 0.05,1,ok,
