grade,db_grade,link,updated_fields,source,note
XVC11,XVC11,https://zknives.com/knives/steels/xvc11.shtml,"manufacturer,standard,co,ni,nb,n,tech,analogues",zknives_mismatches.csv,link
H&R No.7,H&R No.7,https://zknives.com/knives/steels/h~r_no.7.shtml,"manufacturer,standard,co,ni,nb,n,tech,analogues",zknives_mismatches.csv,link
KHA33,KHA33,https://zknives.com/knives/steels/kha33.shtml,"manufacturer,standard,co,ni,nb,n,tech,analogues",zknives_mismatches.csv,link
Mega4,Mega4,https://zknives.com/knives/steels/mega4.shtml,"manufacturer,standard,co,ni,nb,n,tech,analogues",zknives_mismatches.csv,link
Stark,Stark,https://zknives.com/knives/steels/stark.shtml,"manufacturer,standard,co,ni,nb,n,tech,analogues",zknives_mismatches.csv,link
DuraTech M4,DuraTech M4,https://zknives.com/knives/steels/duratech_m4.shtml,"manufacturer,standard,co,ni,s,p,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
DuraTech Mega4,DuraTech Mega4,https://zknives.com/knives/steels/duratech_mega4.shtml,"manufacturer,standard,co,ni,mn,si,p,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
M4PM,M4PM,https://zknives.com/knives/steels/m4pm.shtml,"manufacturer,standard,co,ni,nb,n,tech,analogues",zknives_mismatches.csv,link
LO-QPM M4,LO-QPM M4,https://zknives.com/knives/steels/lo-qpm_m4.shtml,"manufacturer,standard,co,ni,s,p,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
BRM4,BRM4,https://zknives.com/knives/steels/brm4.shtml,"manufacturer,standard,co,ni,nb,n,tech,analogues",zknives_mismatches.csv,link
MAC-C,MAC-C,https://zknives.com/knives/steels/mac-c.shtml,"manufacturer,standard,co,ni,nb,n,tech,analogues",zknives_mismatches.csv,link
HM4,HM4,https://zknives.com/knives/steels/hm4.shtml,"manufacturer,standard,co,ni,nb,n,tech,analogues",zknives_mismatches.csv,link
CSW20,CSW20,https://zknives.com/knives/steels/csw20.shtml,"manufacturer,standard,co,ni,nb,n,tech,analogues",zknives_mismatches.csv,link
SIRapid 3351,SIRapid 3351,https://zknives.com/knives/steels/sirapid_3351.shtml,"manufacturer,standard,co,ni,nb,n,tech,analogues",zknives_mismatches.csv,link
TSP4,TSP4,https://zknives.com/knives/steels/tsp4.shtml,"manufacturer,standard,co,ni,nb,n,tech,analogues",zknives_mismatches.csv,link
Neatro,Neatro,https://zknives.com/knives/steels/neatro.shtml,"manufacturer,standard,co,ni,nb,n,tech,analogues",zknives_mismatches.csv,link
A2,A2,https://zknives.com/knives/steels/a2.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
X100CrMoV51,X100CrMoV51,https://zknives.com/knives/steels/x100crmov51.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
X100CrMoV5,X100CrMoV5,https://zknives.com/knives/steels/x100crmov5.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
1.2363,1.2363,https://zknives.com/knives/steels/1.2363.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
SKD12,SKD12,https://zknives.com/knives/steels/skd12.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
2260,2260,https://zknives.com/knives/steels/2260.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Z100CDV5,Z100CDV5,https://zknives.com/knives/steels/z100cdv5.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Z100CDV5.1,Z100CDV5.1,https://zknives.com/knives/steels/z100cdv5.1.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
BA2,BA2,https://zknives.com/knives/steels/ba2.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
X100KUCrMoV51,X100KUCrMoV51,https://zknives.com/knives/steels/x100kucrmov51.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Cr5Mo1V,Cr5Mo1V,https://zknives.com/knives/steels/cr5mo1v.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
19571PH,19571PH,https://zknives.com/knives/steels/19571ph.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
