value,count
DIN 1.1230,1
DIN 1.1231,1
DIN 1.1232,1
DIN 1.1237,1
DIN 1.1241,1
DIN 1.1242,1
DIN 1.1248,1
DIN 1.1249,1
DIN 1.1251,1
DIN 1.1252,1
DIN 1.1253,1
DIN 1.1255,1
DIN 1.1259,1
DIN 1.1262,1
DIN 1.1265,1
DIN 1.1268,1
DIN 1.1269,1
DIN 1.1272,1
DIN 1.1273,1
DIN 1.1274,1
DIN 1.1275,1
DIN 1.1282,1
DIN 1.1291,1
DIN 1.1520,1
DIN 1.1525,1
DIN 1.1535,1
DIN 1.1545,1
DIN 1.1550,1
DIN 1.1554,1
DIN 1.1555,1
DIN 1.1563,1
DIN 1.1573,1
DIN 1.1620,1
DIN 1.1625,1
DIN 1.1645,1
DIN 1.1654,1
DIN 1.1663,1
DIN 1.1673,1
DIN 1.1730,1
DIN 1.1740,1
DIN 1.1750,1
DIN 1.1819,1
DIN 1.1830,1
DIN 1.2002,1
DIN 1.2003,1
DIN 1.2004,1
DIN 1.2008,1
DIN 1.2018,1
DIN 1.2056,1
DIN 1.2057,1
DIN 1.2059,1
DIN 1.2060,1
DIN 1.2061,1
DIN 1.2063,1
DIN 1.2064,1
DIN 1.2082,1
DIN 1.2083,1
DIN 1.2085,1
DIN 1.2101,1
DIN 1.2108,1
DIN 1.2109,1
DIN 1.2125,1
DIN 1.2127,1
DIN 1.2201,1
DIN 1.2206,1
DIN 1.2210,1
DIN 1.2235,1
DIN 1.2241,1
DIN 1.2242,1
DIN 1.2250,1
DIN 1.2303,1
DIN 1.2304,1
DIN 1.2311,1
DIN 1.2312,1
DIN 1.2316,1
DIN 1.2319,1
DIN 1.2327,1
DIN 1.2332,1
DIN 1.2334,1
DIN 1.2340,1
DIN 1.2343,1
DIN 1.2344,1
DIN 1.2345,1
DIN 1.2346,1
DIN 1.2357,1
DIN 1.2358,1
DIN 1.2360,1
DIN 1.2361,1
DIN 1.2362,1
DIN 1.2363,1
DIN 1.2365,1
DIN 1.2367,1
DIN 1.2369,1
DIN 1.2376,1
DIN 1.2378,1
DIN 1.2380,1
DIN 1.2391,1
DIN 1.2397,1
DIN 1.2410,1
DIN 1.2414,1
DIN 1.2419,1
DIN 1.2436,1
DIN 1.2442,1
DIN 1.2453,1
DIN 1.2510,1
DIN 1.2511,1
DIN 1.2513,1
DIN 1.2515,1
DIN 1.2516,1
DIN 1.2519,1
DIN 1.2541,1
DIN 1.2542,1
DIN 1.2549,1
DIN 1.2550,1
DIN 1.2552,1
DIN 1.2562,1
DIN 1.2581,1
DIN 1.2601,1
DIN 1.2604,1
DIN 1.2631,1
DIN 1.2690,1
DIN 1.2695,1
DIN 1.2703,1
DIN 1.2711,1
DIN 1.2713,1
DIN 1.2714,1
DIN 1.2721,1
DIN 1.2738,1
DIN 1.2762,1
DIN 1.2764,1
DIN 1.2767,1
DIN 1.2791,1
DIN 1.2824,1
DIN 1.2825,1
DIN 1.2826,1
DIN 1.2833,1
DIN 1.2834,1
DIN 1.2835,1
DIN 1.2838,1
DIN 1.2842,1
DIN 1.2880,1
DIN 1.2885,1
DIN 1.2895,1
DIN 1.2901,1
DIN 1.2902,1
DIN 1.2939,1
DIN 1.2965,1
DIN 1.2968,1
DIN 1.2990,1
DIN 1.3202,1
